Mag,Lat,Long,Depth,Region,Status,CloserCity
4.3,0.22° S,80.65° W,10,Near Coast of Ecuador,M,"43.26km Jama,Manabi"
5,0.99° S,80.66° W,10,Near Coast of Ecuador,M,"3.80km Jaramijo,Manabi"
3.5,0.92° N,79.47° W,10,Near Coast of Ecuador,M,"21.41km Esmeraldas,Esmeraldas"
3.5,0.30° N,80.60° W,4.6,Near Coast of Ecuador,M,"66.50km Pedernales,Manabi"
3.5,1.07° N,79.59° W,5,Near Coast of Ecuador,M,"13.17km Esmeraldas,Esmeraldas"
3.5,3.63° S,80.15° W,44.6,Ecuador - El Oro,M,"12.69km Arenillas,El Oro"
3.7,0.77° N,79.79° W,7.9,Near Coast of Ecuador,M,"12.80km Atacames,Esmeraldas"
4.2,0.23° N,80.01° W,4.4,Ecuador - Manabi,M,"18.01km Pedernales,Manabi"
3.5,0.94° N,79.56° W,10,Near Coast of Ecuador,M,"10.16km Esmeraldas,Esmeraldas"
3.6,0.91° S,79.91° W,43.6,Ecuador - Manabi,M,"28.15km Calceta,Manabi"
6.7,0.43° N,80.01° W,17.2,Near Coast of Ecuador,M,"19.81km Muisne,Esmeraldas"
6.9,0.47° N,79.82° W,20.8,Near Coast of Ecuador,M,"27.54km Muisne,Esmeraldas"
4,1.91° S,77.60° W,10,Ecuador - Pastaza,M,"64.36km Puyo,Pastaza"
3.5,1.91° S,78.99° W,99.4,Ecuador - Chimborazo,M,"22.40km San Miguel,Bolivar"
3,0.93° S,80.77° W,17.8,Near Coast of Ecuador,M,"7.42km Manta,Manabi"
3.8,0.92° N,79.58° W,3.6,Near Coast of Ecuador,M,"9.81km Esmeraldas,Esmeraldas"
3.9,0.88° N,79.64° W,10,Near Coast of Ecuador,M,"9.51km Esmeraldas,Esmeraldas"
3.4,2.43° S,80.06° W,30.4,Ecuador - Guayas,M,"33.10km Guayaquil,Guayas"
3.5,1.72° S,77.76° W,2.7,Ecuador - Pastaza,M,"36.92km Puyo,Pastaza"
3.4,0.96° N,79.50° W,3.5,Near Coast of Ecuador,M,"16.48km Esmeraldas,Esmeraldas"
3.8,0.57° S,78.28° W,4.3,Ecuador - Pichincha,M,"32.46km Sangolqui,Pichincha"
3,0.98° N,79.50° W,3.7,Near Coast of Ecuador,M,"17.07km Esmeraldas,Esmeraldas"
3.4,0.13° S,78.62° W,6,Ecuador - Pichincha,M,"17.67km Quito,Pichincha"
3.9,2.84° S,79.70° W,13.8,Ecuador - Guayas,M,"7.38km Balao,Guayas"
2.6,0.16° S,78.37° W,6.9,Ecuador - Pichincha,M,"10.71km Quito,Pichincha"
3.7,0.18° S,80.80° W,10,Near Coast of Ecuador,M,"59.46km Jama,Manabi"
4.1,0.17° S,80.77° W,10,Near Coast of Ecuador,M,"56.06km Jama,Manabi"
3.8,0.92° S,80.59° W,8.6,Ecuador - Manabi,M,"6.79km Jaramijo,Manabi"
4.6,1.91° S,80.29° W,6.7,Ecuador - Guayas,M,"11.59km Pedro Carbo,Guayas"
3.7,3.33° S,80.50° W,10,Peru-Ecuador Border,M,"34.48km Huaquillas,El Oro"
3.4,2.46° S,79.84° W,19.3,Ecuador - Guayas,M,"32.82km Naranjal,Guayas"
3,1.67° S,77.97° W,174.3,Ecuador - Morona Santiago,M,"19.79km Puyo,Pastaza"
3.7,1.62° S,77.87° W,10,Ecuador - Pastaza,M,"20.24km Puyo,Pastaza"
3.7,0.72° N,80.23° W,5.9,Near Coast of Ecuador,M,"26.05km Muisne,Esmeraldas"
3.5,2.34° S,80.11° W,24.8,Ecuador - Guayas,M,"27.81km Guayaquil,Guayas"
3.6,1.20° S,80.93° W,4.5,Ecuador - Manabi,M,"35.17km Montecristi,Manabi"
3.1,3.20° S,80.23° W,21.6,Ecuador - El Oro,M,"30.81km Huaquillas,El Oro"
3.5,0.17° S,77.58° W,5,Ecuador - Napo,M,"58.74km Shushufindi,Sucumbios"
4.1,2.28° S,79.18° W,7.4,Ecuador - Guayas,M,"8.64km Bucay,Guayas"
4.2,1.07° N,83.72° W,10,Off Coast of Ecuador,M,"404.01km Manta,Manabi"
2.7,0.18° S,78.40° W,4.1,Ecuador - Pichincha,M,"7.71km Quito,Pichincha"
4,1.63° S,78.10° W,183.9,Ecuador - Morona Santiago,M,"18.78km Puyo,Pastaza"
3.6,3.13° S,81.78° W,14.7,Near Coast of Northern Peru,M,"136.38km Salinas,Sta Elena"
3.5,1.78° S,77.69° W,176.5,Ecuador - Pastaza,M,"47.81km Puyo,Pastaza"
3.5,0.43° N,81.00° W,10,Off Coast of Ecuador,M,"108.20km Jama,Manabi"
2.6,0.06° S,78.43° W,4.7,Ecuador - Pichincha,M,"13.74km Quito,Pichincha"
4.8,0.75° N,79.25° W,23.2,Ecuador - Esmeraldas,M,"50.57km Esmeraldas,Esmeraldas"
3.9,0.46° S,80.89° W,10,Near Coast of Ecuador,M,"54.53km Bahia de Caraquez,Manabi"
3,2.90° S,78.81° W,77.8,Ecuador - Azuay,M,"4.40km Gualaceo,Azuay"
3.7,2.51° S,77.34° W,7.8,Ecuador - Morona Santiago,M,"89.55km Macas,Morona Stgo"
3.9,1.62° S,77.74° W,197.6,Ecuador - Pastaza,M,"32.86km Puyo,Pastaza"
4.8,2.72° S,77.64° W,108.7,Ecuador - Morona Santiago,M,"65.47km Sucua,Morona Stgo"
3.3,0.47° S,80.40° W,11,Ecuador - Manabi,M,"14.54km San Vicente,Manabi"
3.6,0.62° N,80.11° W,9,Near Coast of Ecuador,M,"10.20km Muisne,Esmeraldas"
3.6,0.71° N,80.31° W,9.9,Near Coast of Ecuador,M,"33.77km Muisne,Esmeraldas"
3.5,0.68° N,80.29° W,8.4,Near Coast of Ecuador,M,"30.52km Muisne,Esmeraldas"
3,0.62° N,80.24° W,8.2,Near Coast of Ecuador,M,"24.05km Muisne,Esmeraldas"
3.5,1.87° S,78.14° W,140,Ecuador - Morona Santiago,M,"44.48km Puyo,Pastaza"
4.1,3.34° S,80.77° W,6.5,Peru-Ecuador Border,M,"62.85km Huaquillas,El Oro"
4.9,0.61° N,80.20° W,7.6,Near Coast of Ecuador,M,"20.04km Muisne,Esmeraldas"
3.7,0.55° N,81.91° W,5,Off Coast of Ecuador,M,"200.93km Jama,Manabi"
4.6,0.15° S,78.37° W,6.4,Ecuador - Pichincha,M,"11.92km Quito,Pichincha"
3.7,0.66° N,80.28° W,6.4,Near Coast of Ecuador,M,"28.84km Muisne,Esmeraldas"
3.3,0.47° N,80.71° W,11.4,Near Coast of Ecuador,M,"78.19km Muisne,Esmeraldas"
3.6,0.16° S,80.71° W,11.9,Near Coast of Ecuador,M,"49.61km Jama,Manabi"
3.5,0.37° N,80.82° W,9,Near Coast of Ecuador,M,"88.77km Jama,Manabi"
3.8,2.40° S,79.91° W,49.7,Near Coast of Ecuador,M,"25.77km Guayaquil,Guayas"
2.6,0.85° N,79.89° W,11.7,Ecuador - Esmeraldas,M,"4.65km Atacames,Esmeraldas"
5.3,0.34° N,80.63° W,14,Near Coast of Ecuador,M,"70.85km Pedernales,Manabi"
4,0.41° N,80.64° W,12.3,Near Coast of Ecuador,M,"72.49km Muisne,Esmeraldas"
3.6,0.32° N,80.59° W,7,Near Coast of Ecuador,M,"66.07km Pedernales,Manabi"
4.8,0.28° N,80.61° W,11.4,Near Coast of Ecuador,M,"65.85km Jama,Manabi"
3.7,0.44° N,80.75° W,19.5,Near Coast of Ecuador,M,"83.66km Muisne,Esmeraldas"
3,1.05° N,79.69° W,16.3,Near Coast of Ecuador,M,"10.29km Esmeraldas,Esmeraldas"
4.7,3.25° S,80.78° W,10,Peru-Ecuador Border,M,"67.35km Huaquillas,El Oro"
3.2,0.15° S,78.37° W,3.4,Ecuador - Pichincha,M,"11.44km Quito,Pichincha"
3.6,3.46° S,80.84° W,10,Peru-Ecuador Border,M,"68.53km Huaquillas,El Oro"
3.4,3.54° S,80.28° W,34.2,Peru-Ecuador Border,M,"9.34km Huaquillas,El Oro"
3.5,0.87° S,80.95° W,7.6,Near Coast of Ecuador,M,"28.28km Manta,Manabi"
4.8,1.74° S,77.94° W,181,Ecuador - Morona Santiago,M,"27.96km Puyo,Pastaza"
4.1,0.29° S,81.02° W,10.6,Off Coast of Ecuador,M,"75.34km Bahia de Caraquez,Manabi"
3.6,2.20° S,77.83° W,2.3,Ecuador - Morona Santiago,M,"33.81km Macas,Morona Stgo"
3.8,0.26° S,80.69° W,10.7,Near Coast of Ecuador,M,"48.33km Jama,Manabi"
3.7,3.03° S,80.55° W,1.1,Peru-Ecuador Border,M,"47.52km Playas,Guayas"
3.8,1.50° S,78.10° W,230,Ecuador - Morona Santiago,M,"10.35km Puyo,Pastaza"
3.6,0.62° N,80.02° W,10,Ecuador - Esmeraldas,M,"1.43km Muisne,Esmeraldas"
4.1,0.33° N,80.26° W,6.9,Near Coast of Ecuador,M,"37.35km Pedernales,Manabi"
3.9,1.75° S,78.11° W,166.5,Ecuador - Morona Santiago,M,"31.41km Puyo,Pastaza"
3.7,1.67° S,78.28° W,157.3,Ecuador - Morona Santiago,M,"34.63km Banos,Tungurahua"
3.6,2.00° S,78.35° W,5.8,Ecuador - Morona Santiago,M,"42.22km Macas,Morona Stgo"
4.1,0.26° S,81.03° W,10,Off Coast of Ecuador,M,"78.29km Bahia de Caraquez,Manabi"
4.4,3.84° S,80.11° W,5,Ecuador - El Oro,M,"32.05km Arenillas,El Oro"
3,0.16° S,78.37° W,5,Ecuador - Pichincha,M,"10.69km Quito,Pichincha"
3.5,0.95° S,79.75° W,10,Ecuador - Guayas,M,"16.33km Velasco Ibarra,Guayas"
3.5,0.02° N,81.07° W,10,Off Coast of Ecuador,M,"93.35km Jama,Manabi"
3.8,0.36° S,81.01° W,10,Off Coast of Ecuador,M,"70.53km Bahia de Caraquez,Manabi"
3.9,3.21° S,80.66° W,10,Peru-Ecuador Border,M,"56.49km Huaquillas,El Oro"
3.6,0.07° S,80.27° W,8.9,Near Coast of Ecuador,M,"14.26km Jama,Manabi"
3.9,0.49° N,80.87° W,2.1,Near Coast of Ecuador,M,"95.88km Muisne,Esmeraldas"
3.4,1.03° N,79.86° W,12.2,Near Coast of Ecuador,M,"18.19km Atacames,Esmeraldas"
3.5,1.12° S,79.86° W,16.5,Ecuador - Guayas,M,"26.58km Velasco Ibarra,Guayas"
4,0.01° S,81.22° W,10,Off Coast of Ecuador,M,"108.59km Jama,Manabi"
3.6,0.59° S,80.99° W,2.7,Near Coast of Ecuador,M,"52.20km Manta,Manabi"
4.5,0.99° S,80.62° W,5.2,Near Coast of Ecuador,M,"3.95km Jaramijo,Manabi"
3.5,0.96° S,80.66° W,2.7,Near Coast of Ecuador,M,"2.15km Jaramijo,Manabi"
3.4,3.02° S,80.16° W,12,Peru-Ecuador Border,M,"35.53km Machala,El Oro"
3.8,0.92° S,80.66° W,4.7,Near Coast of Ecuador,M,"4.63km Jaramijo,Manabi"
3.5,0.97° S,80.65° W,5,Near Coast of Ecuador,M,"1.44km Jaramijo,Manabi"
3.7,2.01° S,79.85° W,54.9,Near Coast of Ecuador,M,"15.23km Samborondon,Guayas"
4.1,2.03° S,80.00° W,31,Ecuador - Guayas,M,"12.96km Nobol,Guayas"
3.1,0.59° S,80.55° W,9.6,Near Coast of Ecuador,M,"13.90km Bahia de Caraquez,Manabi"
4,2.10° S,80.22° W,13.8,Ecuador - Guayas,M,"25.38km Isidro Ayora,Guayas"
3.6,2.58° S,79.25° W,29.8,Ecuador - Canar,M,"20.67km La Troncal,Canar"
3.6,1.49° S,81.09° W,6.2,Off Coast of Ecuador,M,"32.98km Puerto Lopez,Manabi"
3.9,0.27° N,80.26° W,6,Near Coast of Ecuador,M,"31.63km Pedernales,Manabi"
3.8,1.31° S,80.89° W,0.5,Ecuador - Manabi,M,"28.33km Puerto Lopez,Manabi"
4.5,3.98° S,80.88° W,22.8,Peru-Ecuador Border,M,"91.85km Huaquillas,El Oro"
3.7,0.41° N,78.95° W,77.9,Ecuador - Esmeraldas,M,"57.88km Quininde,Esmeraldas"
3.9,1.09° S,78.31° W,3.6,Ecuador - Napo,M,"27.97km Pillaro,Tungurahua"
4.4,1.10° N,83.82° W,6,Off Coast of Ecuador,M,"415.86km Manta,Manabi"
3.9,0.86° S,80.60° W,5,Near Coast of Ecuador,M,"11.29km Jaramijo,Manabi"
3.9,1.92° S,78.04° W,165.6,Ecuador - Morona Santiago,M,"43.98km Macas,Morona Stgo"
3.2,1.63° S,79.13° W,4.7,Ecuador - Bolivar,M,"14.18km San Miguel,Bolivar"
4.5,0.18° S,80.64° W,4.9,Near Coast of Ecuador,M,"42.39km Jama,Manabi"
3.7,0.17° S,80.65° W,2.2,Near Coast of Ecuador,M,"42.88km Jama,Manabi"
3.2,1.15° N,79.65° W,1.6,Near Coast of Ecuador,M,"19.90km Esmeraldas,Esmeraldas"
3.6,0.04° N,77.97° W,6.1,Ecuador - Pichincha,M,"20.60km Cayambe,Pichincha"
3.3,0.99° N,79.53° W,1,Near Coast of Ecuador,M,"14.23km Esmeraldas,Esmeraldas"
3.6,3.17° S,81.58° W,10,Near Coast of Northern Peru,M,"126.37km Salinas,Sta Elena"
4.8,1.19° S,80.93° W,3.3,Ecuador - Manabi,M,"34.54km Montecristi,Manabi"
3.8,1.30° S,80.98° W,8.5,Near Coast of Ecuador,M,"34.09km Puerto Lopez,Manabi"
3.6,1.23° S,80.92° W,5.4,Ecuador - Manabi,M,"35.20km Montecristi,Manabi"
3.5,0.45° S,78.70° W,5,Ecuador - Pichincha,M,"16.03km Machachi,Pichincha"
3.2,1.07° N,79.93° W,4.2,Near Coast of Ecuador,M,"23.76km Atacames,Esmeraldas"
3.6,2.10° S,79.78° W,67.1,Ecuador - Guayas,M,"8.02km Duran,Guayas"
3.1,0.87° N,79.83° W,2,Ecuador - Esmeraldas,M,"1.70km Atacames,Esmeraldas"
2.9,1.40° S,78.46° W,6.1,Ecuador - Tungurahua,M,"4.25km Banos,Tungurahua"
2.7,1.44° S,78.48° W,4.2,Ecuador - Tungurahua,M,"8.02km Banos,Tungurahua"
3.8,1.36° S,80.90° W,5,Near Coast of Ecuador,M,"24.55km Puerto Lopez,Manabi"
4,1.54° S,79.24° W,6.5,Ecuador - Bolivar,M,"10.86km Caluma,Bolivar"
4.2,2.15° S,79.83° W,72.3,Ecuador - Guayas,M,"2.02km Duran,Guayas"
3.5,1.05° N,79.95° W,6.2,Near Coast of Ecuador,M,"22.96km Atacames,Esmeraldas"
3.7,0.92° N,79.84° W,6.8,Near Coast of Ecuador,M,"6.18km Atacames,Esmeraldas"
3.8,0.95° N,79.84° W,5.7,Near Coast of Ecuador,M,"9.04km Atacames,Esmeraldas"
3.5,1.00° N,79.92° W,4.9,Near Coast of Ecuador,M,"16.61km Atacames,Esmeraldas"
3.6,1.94° S,80.27° W,17.2,Ecuador - Guayas,M,"13.32km Pedro Carbo,Guayas"
3.5,1.45° S,80.07° W,10,Ecuador - Guayas,M,"12.80km Colimes,Guayas"
3.8,1.07° N,79.98° W,5,Near Coast of Ecuador,M,"27.12km Atacames,Esmeraldas"
4.9,0.96° N,79.82° W,4.1,Near Coast of Ecuador,M,"10.25km Atacames,Esmeraldas"
4.2,1.03° N,79.95° W,7.7,Near Coast of Ecuador,M,"21.32km Atacames,Esmeraldas"
3.6,0.99° N,79.80° W,2.4,Near Coast of Ecuador,M,"14.49km Atacames,Esmeraldas"
4.1,2.76° S,79.85° W,10.5,Near Coast of Ecuador,M,"23.23km Balao,Guayas"
4.3,1.10° N,79.99° W,4.8,Near Coast of Ecuador,M,"30.68km Atacames,Esmeraldas"
3,1.01° N,79.88° W,9.2,Near Coast of Ecuador,M,"16.63km Atacames,Esmeraldas"
3.4,1.08° N,79.76° W,5.4,Near Coast of Ecuador,M,"17.47km Esmeraldas,Esmeraldas"
4.2,2.55° S,80.02° W,30.7,Ecuador - Guayas,M,"41.94km Playas,Guayas"
3.7,0.09° S,80.49° W,5.7,Near Coast of Ecuador,M,"27.67km Jama,Manabi"
3.7,2.75° S,79.21° W,42.1,Ecuador - Azuay,A,"28.40km Cuenca,Azuay"
3.6,0.76° N,79.74° W,3.1,Near Coast of Ecuador,M,"16.98km Atacames,Esmeraldas"
3.9,1.03° N,79.84° W,8.5,Near Coast of Ecuador,M,"18.15km Atacames,Esmeraldas"
4.2,1.10° N,79.86° W,1.9,Near Coast of Ecuador,M,"26.21km Atacames,Esmeraldas"
3.9,0.98° N,79.80° W,10,Near Coast of Ecuador,M,"14.00km Atacames,Esmeraldas"
3.9,1.03° N,79.85° W,5,Near Coast of Ecuador,M,"18.56km Atacames,Esmeraldas"
3.9,1.05° N,79.88° W,4.1,Near Coast of Ecuador,M,"20.67km Atacames,Esmeraldas"
4.2,1.06° N,79.86° W,3.5,Near Coast of Ecuador,M,"21.35km Atacames,Esmeraldas"
4,1.18° N,80.06° W,6.2,Off Coast of Ecuador,M,"41.80km Atacames,Esmeraldas"
3.4,0.98° N,79.86° W,14.7,Near Coast of Ecuador,M,"12.48km Atacames,Esmeraldas"
4,1.08° N,79.85° W,2.7,Near Coast of Ecuador,M,"23.69km Atacames,Esmeraldas"
4.3,1.04° N,79.85° W,5,Near Coast of Ecuador,M,"19.37km Atacames,Esmeraldas"
3.7,1.75° N,82.86° W,10,Off Coast of Ecuador,A,"339.97km Muisne,Esmeraldas"
3.5,1.04° N,80.36° W,64.8,Off Coast of Ecuador,M,"60.79km Atacames,Esmeraldas"
3.8,3.43° S,80.67° W,3,Peru-Ecuador Border,M,"50.31km Huaquillas,El Oro"
4.5,0.97° N,79.77° W,1.5,Near Coast of Ecuador,M,"12.85km Esmeraldas,Esmeraldas"
3.9,0.98° N,79.95° W,7.3,Near Coast of Ecuador,M,"17.15km Atacames,Esmeraldas"
3.8,1.08° N,79.95° W,7.8,Near Coast of Ecuador,M,"26.16km Atacames,Esmeraldas"
3.6,0.95° N,79.87° W,8.6,Near Coast of Ecuador,M,"9.72km Atacames,Esmeraldas"
4.2,1.06° N,79.89° W,3.1,Near Coast of Ecuador,M,"21.91km Atacames,Esmeraldas"
4,1.07° N,79.92° W,2.8,Near Coast of Ecuador,M,"23.73km Atacames,Esmeraldas"
4.4,1.07° N,79.94° W,5.1,Near Coast of Ecuador,M,"24.12km Atacames,Esmeraldas"
3.3,1.04° N,79.86° W,7.2,Near Coast of Ecuador,M,"19.31km Atacames,Esmeraldas"
3.6,1.07° N,79.85° W,2.8,Near Coast of Ecuador,M,"22.88km Atacames,Esmeraldas"
4.8,0.94° N,79.65° W,12.4,Ecuador - Esmeraldas,M,"3.00km Esmeraldas,Esmeraldas"
5.1,1.00° N,79.95° W,5.3,Near Coast of Ecuador,M,"19.19km Atacames,Esmeraldas"
3.6,2.80° S,76.97° W,10,Peru-Ecuador Border,A,"139.03km Sucua,Morona Stgo"
4.5,2.15° S,80.37° W,12.9,Ecuador - Santa Elena,M,"19.55km Santa Elena,Sta Elena"
3.5,0.15° S,80.66° W,4.4,Near Coast of Ecuador,M,"44.89km Jama,Manabi"
3.8,2.61° S,79.72° W,24.6,Near Coast of Ecuador,M,"13.18km Naranjal,Guayas"
3.4,1.08° N,79.92° W,7.8,Near Coast of Ecuador,M,"25.43km Atacames,Esmeraldas"
3.6,1.14° N,79.98° W,6.1,Near Coast of Ecuador,M,"33.66km Atacames,Esmeraldas"
3.6,0.18° N,79.61° W,9.2,Ecuador - Esmeraldas,M,"22.49km Quininde,Esmeraldas"
3.7,0.15° S,80.67° W,1.1,Near Coast of Ecuador,M,"45.24km Jama,Manabi"
3.8,0.12° S,80.83° W,2.1,Near Coast of Ecuador,M,"63.41km Jama,Manabi"
3.5,0.93° N,79.74° W,11.2,Ecuador - Esmeraldas,M,"10.94km Esmeraldas,Esmeraldas"
4.2,1.02° N,79.88° W,4.5,Near Coast of Ecuador,M,"17.49km Atacames,Esmeraldas"
3.6,1.36° N,80.43° W,10,Off Coast of Ecuador,M,"84.94km Atacames,Esmeraldas"
3.8,2.22° S,77.98° W,135.3,Ecuador - Morona Santiago,M,"18.18km Macas,Morona Stgo"
3.7,1.01° S,80.12° W,11.7,Ecuador - Manabi,M,"19.55km Calceta,Manabi"
3.7,3.97° S,79.85° W,45.1,Ecuador - Loja,M,"24.00km Catacocha,Loja"
4.5,2.88° S,80.40° W,10,Near Coast of Ecuador,M,"28.43km Playas,Guayas"
3.9,4.33° S,77.00° W,10,Northern Peru,M,"202.49km Gualaquiza,Morona Stgo"
3.5,0.99° N,79.82° W,7.3,Near Coast of Ecuador,M,"14.39km Atacames,Esmeraldas"
3.8,1.80° S,79.13° W,10,Ecuador - Bolivar,M,"13.89km San Miguel,Bolivar"
3.2,1.07° N,79.98° W,6.3,Near Coast of Ecuador,M,"27.24km Atacames,Esmeraldas"
3.8,0.45° N,80.85° W,10,Near Coast of Ecuador,M,"94.26km Muisne,Esmeraldas"
4.3,2.68° S,80.93° W,10,Near Coast of Ecuador,M,"50.29km La Libertad,Sta Elena"
3.2,0.88° N,79.70° W,9.2,Near Coast of Ecuador,M,"10.84km Esmeraldas,Esmeraldas"
2.9,0.82° N,79.82° W,12,Ecuador - Esmeraldas,M,"6.18km Atacames,Esmeraldas"
3.8,1.89° S,77.35° W,181.1,Ecuador - Pastaza,M,"85.39km Puyo,Pastaza"
3.5,0.22° S,80.83° W,12,Near Coast of Ecuador,M,"62.82km Bahia de Caraquez,Manabi"
3.7,1.49° S,77.59° W,211.6,Ecuador - Pastaza,M,"46.19km Puyo,Pastaza"
3.6,2.95° S,79.23° W,46.7,Ecuador - Azuay,M,"25.16km Cuenca,Azuay"
3.2,0.86° N,79.68° W,5.7,Near Coast of Ecuador,M,"12.12km Esmeraldas,Esmeraldas"
5.8,0.93° N,79.84° W,6.4,Near Coast of Ecuador,M,"6.62km Atacames,Esmeraldas"
3.9,2.26° S,77.01° W,129.4,Ecuador - Pastaza,M,"122.46km Macas,Morona Stgo"
3.3,0.98° N,79.70° W,9,Near Coast of Ecuador,M,"5.87km Esmeraldas,Esmeraldas"
3.3,0.95° N,79.90° W,9.7,Near Coast of Ecuador,M,"10.59km Atacames,Esmeraldas"
3.5,2.51° S,79.09° W,81.1,Ecuador - Canar,M,"18.34km Canar,Canar"
3.6,1.60° S,80.83° W,10,Near Coast of Ecuador,M,"5.43km Puerto Lopez,Manabi"
3.6,0.68° N,79.74° W,0.4,Near Coast of Ecuador,M,"24.52km Atacames,Esmeraldas"
5.2,0.65° N,80.09° W,2.9,Near Coast of Ecuador,M,"9.10km Muisne,Esmeraldas"
3.7,1.69° S,77.88° W,10,Ecuador - Pastaza,M,"25.83km Puyo,Pastaza"
3.5,2.13° S,75.51° W,10,Peru-Ecuador Border,M,"248.62km Pto Fsco de Orellana,Orellana"
2.8,1.00° N,79.99° W,10.4,Near Coast of Ecuador,M,"21.31km Atacames,Esmeraldas"
3.6,3.61° S,80.69° W,5.3,Peru-Ecuador Border,M,"54.58km Huaquillas,El Oro"
3.8,4.00° S,80.94° W,10,Peru-Ecuador Border,M,"99.08km Huaquillas,El Oro"
4.1,1.93° N,78.55° W,3.6,Colombia-Ecuador Border,M,"80.17km San Lorenzo,Esmeraldas"
3.6,1.44° S,81.04° W,5.5,Off Coast of Ecuador,M,"28.73km Puerto Lopez,Manabi"
4.4,4.61° S,76.39° W,36.3,Northern Peru,M,"276.72km Gualaquiza,Morona Stgo"
4.9,1.40° S,80.55° W,10,Ecuador - Manabi,M,"6.67km Jipijapa,Manabi"
3.6,1.68° N,75.76° W,59.3,Colombia,M,"218.00km Nueva Loja,Sucumbios"
3.6,2.01° S,79.86° W,65.4,Near Coast of Ecuador,M,"15.34km Samborondon,Guayas"
3.7,4.04° S,80.84° W,5.9,Peru-Ecuador Border,M,"92.95km Huaquillas,El Oro"
4.3,2.61° S,79.98° W,36.3,Ecuador - Manabi,M,"40.17km Naranjal,Guayas"
3.7,1.00° N,79.26° W,4,Ecuador - Esmeraldas,M,"43.32km Esmeraldas,Esmeraldas"
4.1,2.29° S,79.86° W,39.9,Ecuador - Guayas,M,"14.78km Guayaquil,Guayas"
4.3,2.42° S,80.30° W,13.1,Ecuador - Guayas,M,"25.12km Playas,Guayas"
5.7,0.74° N,79.77° W,9.1,Near Coast of Ecuador,M,"16.78km Atacames,Esmeraldas"
5.2,3.12° S,77.10° W,16.1,Peru-Ecuador Border,M,"140.42km Sucua,Morona Stgo"
3.6,3.45° S,80.88° W,11,Peru-Ecuador Border,M,"72.57km Huaquillas,El Oro"
3.5,3.67° S,79.81° W,10,Ecuador - El Oro,M,"13.92km Pinas,El Oro"
3.5,3.84° S,80.30° W,57.3,Peru-Ecuador Border,M,"40.87km Arenillas,El Oro"
3.5,1.19° S,80.74° W,19.6,Near Coast of Ecuador,M,"18.47km Montecristi,Manabi"
3.5,2.23° S,79.82° W,57.3,Ecuador - Guayas,M,"8.14km Duran,Guayas"
4.5,3.70° S,76.08° W,197,Northern Peru,M,"270.22km Sucua,Morona Stgo"
3.8,3.42° S,80.77° W,10,Peru-Ecuador Border,M,"60.55km Huaquillas,El Oro"
3.9,4.15° S,80.46° W,16.6,Peru-Ecuador Border,M,"63.26km Macara,Loja"
4.4,0.92° S,80.46° W,3.4,Near Coast of Ecuador,M,"1.32km Rocafuerte,Manabi"
3.8,2.82° S,77.27° W,86.5,Peru-Ecuador Border,M,"108.13km Sucua,Morona Stgo"
4.2,3.92° S,77.10° W,31.1,Peru-Ecuador Border,M,"172.65km Gualaquiza,Morona Stgo"
3.6,0.14° N,80.25° W,7.6,Near Coast of Ecuador,M,"23.00km Pedernales,Manabi"
3.6,2.38° S,78.26° W,6,Ecuador - Morona Santiago,M,"13.03km Sucua,Morona Stgo"
3.1,0.88° S,80.58° W,5.1,Ecuador - Manabi,M,"11.05km Jaramijo,Manabi"
4.7,0.48° N,79.92° W,18.6,Near Coast of Ecuador,M,"18.25km Muisne,Esmeraldas"
5,0.43° N,79.91° W,11.2,Near Coast of Ecuador,M,"23.08km Muisne,Esmeraldas"
5.6,0.35° S,81.10° W,7.8,Off Coast of Ecuador,M,"80.29km Bahia de Caraquez,Manabi"
5.4,0.91° S,80.63° W,4.5,Ecuador - Manabi,M,"5.68km Jaramijo,Manabi"
5.2,0.93° S,80.58° W,12.2,Near Coast of Ecuador,M,"6.91km Jaramijo,Manabi"
5.1,0.96° N,79.85° W,5,Near Coast of Ecuador,M,"10.24km Atacames,Esmeraldas"
5.1,0.96° N,79.82° W,4.7,Near Coast of Ecuador,M,"10.31km Atacames,Esmeraldas"
5.3,0.07° S,80.88° W,7,Near Coast of Ecuador,M,"70.37km Jama,Manabi"
3.8,2.04° S,77.81° W,2.5,Ecuador - Morona Santiago,M,"45.65km Macas,Morona Stgo"
3.9,1.93° S,78.86° W,10,Ecuador - Chimborazo,M,"29.51km Alausi,Chimborazo"
4.2,2.30° S,79.73° W,55.4,Ecuador - Guayas,M,"17.94km Duran,Guayas"
3.5,0.93° N,77.55° W,5.8,Colombia-Ecuador Border,M,"22.43km Tulcan,Carchi"
4.2,2.93° S,79.82° W,20.8,Ecuador - Guayas,M,"13.98km Balao,Guayas"
3.5,1.37° S,80.08° W,32.3,Ecuador - Guayas,M,"20.34km Balzar,Guayas"
4.4,3.60° S,76.56° W,10,Northern Peru,M,"219.23km Sucua,Morona Stgo"
3.6,0.65° S,81.03° W,10,Off Coast of Ecuador,M,"50.06km Manta,Manabi"
4.5,3.86° S,81.28° W,20,Near Coast of Northern Peru,M,"125.56km Huaquillas,El Oro"
4,0.10° N,85.08° W,19.4,Off Coast of Ecuador,M,"499.86km Manta,Manabi"
3.6,3.54° S,80.99° W,10,Peru-Ecuador Border,M,"85.00km Huaquillas,El Oro"
3.6,2.41° S,79.79° W,35.1,Ecuador - Guayas,M,"28.12km Duran,Guayas"
