Mag,Lat,Long,Depth,Region,Status,CloserCity
3.7,0.82° N,79.82° W,10,Ecuador - Esmeraldas,M,"6.10km Atacames,Esmeraldas"
4,0.06° S,80.53° W,10,Near Coast of Ecuador,M,"33.59km Jama,Manabi"
3.5,0.29° S,80.49° W,5.7,Near Coast of Ecuador,M,"27.03km Jama,Manabi"
4.8,0.54° N,80.04° W,7,Near Coast of Ecuador,M,"8.25km Muisne,Esmeraldas"
4.6,0.40° N,79.93° W,2.8,Near Coast of Ecuador,M,"25.61km Muisne,Esmeraldas"
4.5,0.49° N,79.98° W,4.9,Near Coast of Ecuador,M,"14.26km Muisne,Esmeraldas"
4.3,0.51° N,79.96° W,5.4,Near Coast of Ecuador,M,"13.16km Muisne,Esmeraldas"
3.9,0.40° N,79.87° W,13.4,Near Coast of Ecuador,M,"28.89km Muisne,Esmeraldas"
3.8,0.46° N,79.80° W,8.8,Near Coast of Ecuador,M,"29.78km Muisne,Esmeraldas"
4.9,0.39° N,79.88° W,9.5,Near Coast of Ecuador,M,"29.20km Muisne,Esmeraldas"
3.9,0.33° N,79.85° W,9.5,Ecuador - Esmeraldas,M,"36.31km Pedernales,Manabi"
3.6,0.23° N,80.35° W,10,Near Coast of Ecuador,M,"37.52km Pedernales,Manabi"
3.6,0.64° N,80.04° W,5.1,Ecuador - Esmeraldas,M,"3.82km Muisne,Esmeraldas"
3.5,0.45° N,79.81° W,14.2,Near Coast of Ecuador,M,"29.53km Muisne,Esmeraldas"
4.1,0.64° N,80.09° W,2.2,Near Coast of Ecuador,M,"8.33km Muisne,Esmeraldas"
4.8,0.64° N,80.16° W,5.4,Near Coast of Ecuador,M,"15.82km Muisne,Esmeraldas"
3.6,0.61° N,80.11° W,7.5,Near Coast of Ecuador,M,"9.94km Muisne,Esmeraldas"
3.9,0.63° N,80.50° W,3.7,Near Coast of Ecuador,M,"53.35km Muisne,Esmeraldas"
3.7,0.63° N,80.18° W,10,Near Coast of Ecuador,A,"17.84km Muisne,Esmeraldas"
3.7,0.29° N,80.00° W,7.2,Ecuador - Manabi,M,"24.79km Pedernales,Manabi"
3.5,0.68° N,80.16° W,6.9,Near Coast of Ecuador,M,"17.26km Muisne,Esmeraldas"
5.2,0.44° N,79.83° W,13.3,Near Coast of Ecuador,M,"28.14km Muisne,Esmeraldas"
3,1.27° S,78.46° W,3.7,Ecuador - Tungurahua,M,"10.38km Pelileo,Tungurahua"
3.4,0.21° S,80.69° W,1.7,Near Coast of Ecuador,M,"47.68km Jama,Manabi"
3.6,0.12° S,80.80° W,4.7,Near Coast of Ecuador,M,"60.25km Jama,Manabi"
3.5,1.11° S,81.37° W,5.4,Off Coast of Ecuador,M,"74.83km Manta,Manabi"
3.7,0.86° S,80.62° W,2.3,Near Coast of Ecuador,M,"11.42km Jaramijo,Manabi"
3.6,0.48° N,79.94° W,10.1,Near Coast of Ecuador,M,"16.67km Muisne,Esmeraldas"
4,2.86° S,79.56° W,11,Ecuador - Azuay,M,"16.64km Balao,Guayas"
3,0.71° N,80.07° W,5,Ecuador - Esmeraldas,M,"11.80km Muisne,Esmeraldas"
3.9,2.55° S,77.87° W,10,Ecuador - Morona Santiago,M,"34.63km Sucua,Morona Santiago"
3,2.18° S,77.62° W,3,Ecuador - Morona Santiago,M,"56.47km Macas,Morona Santiago"
3.4,0.23° S,80.77° W,7.3,Near Coast of Ecuador,M,"56.85km Jama,Manabi"
3.7,2.04° S,80.68° W,9.4,Ecuador - Santa Elena,M,"23.27km Santa Elena,Santa Elena"
3.2,0.91° N,80.46° W,9.7,Near Coast of Ecuador,M,"58.77km Muisne,Esmeraldas"
3.7,0.30° N,80.32° W,9.5,Near Coast of Ecuador,M,"39.02km Pedernales,Manabi"
3.6,0.96° N,80.43° W,4.3,Near Coast of Ecuador,M,"59.49km Muisne,Esmeraldas"
3.5,0.92° S,80.74° W,3.5,Near Coast of Ecuador,M,"6.46km Manta,Manabi"
3.8,1.80° S,77.39° W,5,Ecuador - Pastaza,M,"75.78km Puyo,Pastaza"
4.7,0.52° N,79.90° W,9.3,Near Coast of Ecuador,M,"16.88km Muisne,Esmeraldas"
3.9,3.27° S,80.73° W,10,Peru-Ecuador Border,M,"60.89km Huaquillas,El Oro"
4.5,0.62° S,81.11° W,3.5,Off Coast of Ecuador,M,"59.29km Manta,Manabi"
3.6,0.36° N,80.88° W,10,Near Coast of Ecuador,M,"92.59km Jama,Manabi"
4.3,0.35° N,80.78° W,10,Near Coast of Ecuador,M,"84.22km Jama,Manabi"
3.6,0.35° S,79.66° W,16.6,Ecuador - Manabi,M,"23.74km El Carmen,Manabi"
3.8,2.10° S,80.24° W,8.9,Ecuador - Guayas,M,"26.06km Isidro Ayora,Guayas"
3.4,0.21° N,80.21° W,7.3,Near Coast of Ecuador,M,"23.80km Pedernales,Manabi"
3.6,0.13° S,81.01° W,10,Off Coast of Ecuador,M,"83.64km Jama,Manabi"
3.5,1.14° S,81.33° W,5,Off Coast of Ecuador,M,"71.91km Manta,Manabi"
3.5,0.53° N,80.79° W,10,Near Coast of Ecuador,M,"85.98km Muisne,Esmeraldas"
4.2,0.39° N,80.40° W,4,Near Coast of Ecuador,M,"48.33km Muisne,Esmeraldas"
