Mag,Latitude,Longitude,CloserCity,Depth,Region,categoryMag,categoryDepth,Cluster,
179,0.95,-79.48,10,4.1," Esmeraldas,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
186,0.19,-79.99,12.9,3.5," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
187,0.6,-79.88,8.7,5.9," Muisne,Esmeraldas",Near Coast of Ecuador,5.0 - 5.9,0,
188,0.62,-79.89,6.1,3.3," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
189,0.59,-79.77,10.1,6.2," Muisne,Esmeraldas",Near Coast of Ecuador,6.0 - 6.9,0,
190,0.6,-79.79,18.9,3.2," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
191,0.7,-79.7,6.1,4.3," Atacames,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
192,0.95,-79.53,2.4,4.4," Esmeraldas,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
193,0.97,-79.55,5,4," Esmeraldas,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
194,0.97,-79.53,2.2,3.7," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
195,0.92,-79.53,5,3.4," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
196,0.95,-79.59,10,3.5," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
197,0.92,-79.52,5.3,3.3," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
199,0.94,-79.55,5,3.8," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
204,0.62,-80.16,7.9,4.3," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
218,0.46,-80.14,10.3,3.1," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
220,0.64,-80.18,6,3.2," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
225,0.92,-79.95,6.3,3.5," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
227,0.19,-80.12,16.3,3.1," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
230,0.62,-79.88,9.4,3.6," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
235,0.86,-79.51,10,3.5," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
236,0.93,-79.35,10,3.5," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
237,0.95,-79.46,10,4.5," Esmeraldas,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
241,0.96,-79.49,10,3.8," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
242,0.91,-79.43,10,3.4," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
272,0.92,-79.47,10,3.5," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
274,1.07,-79.59,5,3.5," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
276,0.77,-79.79,7.9,3.7," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
277,0.23,-80.01,4.4,4.2," Pedernales,Manabi",Manabi,4.0 - 4.9,0,
278,0.94,-79.56,10,3.5," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
280,0.43,-80.01,17.2,6.7," Muisne,Esmeraldas",Near Coast of Ecuador,6.0 - 6.9,0,
281,0.47,-79.82,20.8,6.9," Muisne,Esmeraldas",Near Coast of Ecuador,6.0 - 6.9,0,
285,0.92,-79.58,3.6,3.8," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
286,0.88,-79.64,10,3.9," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
289,0.96,-79.5,3.5,3.4," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
291,0.98,-79.5,3.7,3," Esmeraldas,Esmeraldas",Near Coast of Ecuador,1.0 - 3.0,0,
316,0.75,-79.25,23.2,4.8," Esmeraldas,Esmeraldas",Esmeraldas,4.0 - 4.9,0,
323,0.62,-80.11,9,3.6," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
