Mag,Latitude,Longitude,CloserCity,Depth,Region,categoryMag,categoryDepth,Cluster,
1255,0.62,-80.22,1.50701988,3.8862522,nas,Esmeraldas,3.0 - 3.9,0,
1256,0.88,-80.05,3.5,3.842759,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1265,0.4,-80.11,3,4.00648323,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1272,0.72,-80.1,12.35495758,3.93055251,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1285,0.46,-80.12,7.98966026,4.49184222,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1361,0.54,-80.05,6.76248932,3.62322058,nas,Esmeraldas,3.0 - 3.9,0,
1362,0.6,-80,5.34292221,4.22716635,nas,Near Coast of Ecuador,4.0 - 4.9,0,
7,-0.12,-80.37,7.3,3.7," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
8,-0.21,-80.55,10,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
9,-0.07,-80.74,10,3.7," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
10,-0.1,-80.73,2.7,4.2," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
11,-0.09,-80.71,3.2,3.8," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
12,-0.13,-80.79,10,4.1," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
13,-0.19,-80.36,12,3.1," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
26,-0.04,-80.52,9.2,3.2," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
30,-0.25,-80.51,7.7,3.9," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
46,0.69,-80.57,2.8,3.8," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
50,-0.18,-80.96,10,3.7," Bahia de Caraquez,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
53,0.87,-80.25,11.1,3.6," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
55,0.66,-80.69,4.7,5," Muisne,Esmeraldas",Near Coast of Ecuador,5.0 - 5.9,0,
56,0.77,-80.2,10,4," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
61,-0.03,-80.29,8.7,3.4," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
64,-0.06,-80.53,10,4," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
65,-0.29,-80.49,5.7,3.5," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
74,0.23,-80.35,10,3.6," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
80,0.63,-80.5,3.7,3.9," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
86,-0.21,-80.69,1.7,3.4," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
87,-0.12,-80.8,4.7,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
95,-0.23,-80.77,7.3,3.4," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
97,0.91,-80.46,9.7,3.2," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
98,0.3,-80.32,9.5,3.7," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
99,0.96,-80.43,4.3,3.6," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
105,0.36,-80.88,10,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
106,0.35,-80.78,10,4.3," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
107,-0.35,-79.66,16.6,3.6," El Carmen,Manabi",Manabi,3.0 - 3.9,0,
109,0.21,-80.21,7.3,3.4," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
112,0.53,-80.79,10,3.5," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
113,0.39,-80.4,4,4.2," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
116,0.32,-80.65,10,3.4," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
117,0.3,-80.09,5.3,3.5," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
125,-0.17,-80.48,7.9,3.8," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
127,-0.19,-80.61,10,3.3," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
129,0.32,-80.63,10,3.5," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
133,-0.14,-80.45,3.9,3.5," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
135,0.37,-80.84,10,3.5," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
136,0.33,-80.77,10,4.2," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
137,0.27,-80.77,18.6,3.9," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
139,-0.16,-80.67,9.5,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
141,-0.16,-80.69,2.2,3.2," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
142,-0.23,-80.65,5,3.2," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
151,-0.27,-80.55,2.1,3.8," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
153,-0.53,-80.78,5,3.5," Bahia de Caraquez,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
201,-0.65,-80.95,10,4.2," Manta,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
203,-0.11,-80.96,5.2,3.4," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
209,-0.11,-80.32,10.3,3.2," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
210,0.75,-80.26,9.4,3.2," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
211,-0.17,-80.98,5.1,4.5," Bahia de Caraquez,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
212,-0.18,-80.98,3.7,4.6," Bahia de Caraquez,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
213,-0.12,-80.73,5,3.3," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
215,-0.09,-80.33,12.7,3.5," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
216,-0.09,-80.26,7.9,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
217,-0.1,-80.95,2.1,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
219,-0.3,-80.03,19.8,3," Flavio Alfaro,Manabi",Manabi,1.0 - 3.0,0,
221,-0.18,-80.81,2.9,3.7," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
226,-0.03,-80.21,7.3,3.7," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
229,0.34,-80.25,10.1,4.5," Pedernales,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
232,0.38,-80.43,2.3,3.7," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
243,-0.04,-80.29,9.2,3.1," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
244,0.76,-80.45,8.4,3.5," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
245,0.77,-80.23,20.5,3.4," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
246,0.72,-80.37,9.6,3.3," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
247,0.81,-80.41,2.8,3.3," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
248,-0.01,-80.23,5.9,3.3," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
249,-0.33,-80.41,4.4,3.3," Jama,Manabi",Manabi,3.0 - 3.9,0,
250,-0.21,-80.54,8.5,3.5," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
251,0.09,-80.32,7.4,3.4," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
252,0.03,-80.14,27,3," Pedernales,Manabi",Near Coast of Ecuador,1.0 - 3.0,0,
254,0.4,-80.81,8.6,3.3," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
255,-0.3,-79.7,26.3,3.8," Flavio Alfaro,Manabi",Manabi,3.0 - 3.9,0,
256,0.38,-80.66,6.4,3.4," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
257,0.34,-80.24,10.5,3.1," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
258,-0.39,-80.32,13.1,4.2," Jama,Manabi",Manabi,4.0 - 4.9,0,
259,0.4,-80.41,5,3.2," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
260,0.41,-80.61,10.4,3.1," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
265,-0.02,-80.27,11.9,4.3," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
268,-0.11,-80.71,5,3.5," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
269,-0.14,-80.66,5.6,3.5," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
270,-0.22,-80.65,10,4.3," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
273,0.3,-80.6,4.6,3.5," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
295,-0.18,-80.8,10,3.7," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
296,-0.17,-80.77,10,4.1," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
303,0.72,-80.23,5.9,3.7," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
317,-0.46,-80.89,10,3.9," Bahia de Caraquez,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
324,0.71,-80.31,9.9,3.6," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
325,0.68,-80.29,8.4,3.5," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
332,0.66,-80.28,6.4,3.7," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
333,0.47,-80.71,11.4,3.3," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
334,-0.16,-80.71,11.9,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
335,0.37,-80.82,9,3.5," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
338,0.34,-80.63,14,5.3," Pedernales,Manabi",Near Coast of Ecuador,5.0 - 5.9,0,
339,0.41,-80.64,12.3,4," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
340,0.32,-80.59,7,3.6," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
341,0.28,-80.61,11.4,4.8," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
342,0.44,-80.75,19.5,3.7," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
352,-0.26,-80.69,10.7,3.8," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
356,0.33,-80.26,6.9,4.1," Pedernales,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
367,-0.07,-80.27,8.9,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
368,0.49,-80.87,2.1,3.9," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
372,-0.59,-80.99,2.7,3.6," Manta,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
384,0.27,-80.26,6,3.9," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
393,-0.18,-80.64,4.9,4.5," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
394,-0.17,-80.65,2.2,3.7," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
426,-0.09,-80.49,5.7,3.7," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
455,-0.15,-80.66,4.4,3.5," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
459,0.18,-79.61,9.2,3.6," Quininde,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
460,-0.15,-80.67,1.1,3.7," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
461,-0.12,-80.83,2.1,3.8," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
473,0.45,-80.85,10,3.8," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
478,-0.22,-80.83,12,3.5," Bahia de Caraquez,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
519,0.14,-80.25,7.6,3.6," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
529,-0.07,-80.88,7,5.3," Jama,Manabi",Near Coast of Ecuador,5.0 - 5.9,0,
546,-0.14,-80.56,4.7,3.8," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
547,-0.11,-80.52,4.8,3.8," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
548,-0.17,-80.63,7,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
553,-0.5,-80.84,4.1,4.2," Bahia de Caraquez,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
559,0.27,-80.73,4.3,3.8," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
574,0.69,-80.28,7.9,3.5," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
581,-0.14,-80.42,9.2,3.8," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
613,-0.22,-80.67,10,3.9," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
614,-0.16,-80.7,10,4.1," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
615,-0.22,-80.71,10,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
624,0.67,-80.24,7,3.7," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
629,0.31,-80.19,6.5,3.5," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
641,0.48,-80.65,4.9,3.9," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
668,-0.33,-80.44,10.9,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
676,0.13,-80.36,6.5,4.1," Pedernales,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
678,-0.18,-80.84,8,4.9," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
680,-0.15,-80.85,9,6.3," Jama,Manabi",Near Coast of Ecuador,6.0 - 6.9,0,
682,-0.12,-80.75,1.1,4.5," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
684,0.02,-80.42,10.4,3.7," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
685,0.47,-80.64,8.2,4.4," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
687,0.35,-80.23,9.9,4," Pedernales,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
693,-0.02,-80.99,10,3.8," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
698,0.38,-80.99,20.4,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
699,-0.06,-80.99,10,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
700,-0.19,-80.78,2.2,3.7," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
701,-0.13,-81,10.5,4.5," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
708,-0.24,-80.7,6.6,4.3," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
714,-0.24,-80.77,1.9,3.6," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
730,0.3,-80.09,5,4.4," Pedernales,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
732,0.73,-80.28,9,3.8," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
733,0.73,-80.29,10.2,4.4," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
738,-0.14,-80.78,21.5,3.7," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
739,-0.13,-80.72,7.7,4.2," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
741,-0.1,-80.82,9.7,3.7," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
745,-0.13,-80.71,10,3.5," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
754,-0.17,-80.66,2.2,3.7," Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
768,-0.27,-80.8,4.2,4," Bahia de Caraquez,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
769,-0.08,-80.78,7,4," Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
813,0.02,-80.09,24,4.2," Pedernales,Manabi",Manabi,4.0 - 4.9,0,
843,0.76,-80.2,9,5,"Muisne,Esmeraldas",Near Coast of Ecuador,5.0 - 5.9,0,
844,0.82,-80.24,11.8,4.3,"Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
899,0.05,-80.27,5.7,3.8,"Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
906,-0.15,-80.71,9.7,3.5,"Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
944,0.4,-80.53,9.5,4.1,"Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
952,-0.55,-80.79,6.7,4.9,"Bahia de Caraquez,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
971,-0.22,-80.64,6.3,4.3,"Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
972,-0.19,-80.66,5.3,3.8,"Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
974,-0.18,-80.66,4.8,4.9,"Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
975,-0.16,-80.76,7.2,3.8,"Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
1004,0.31,-80.94,4.9,4.3,"Jama,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
1005,0.35,-80.9,7,3.8,"Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
1009,0.22,-80.67,10,3.5,"Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
1010,0.23,-80.67,4.7,3.7,"Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
1011,0.28,-80.89,4.2,3.6,"Jama,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
1038,0.31,-80.13,22.30558268,5.45892053,"Muisne,Esmeraldas",Manabi,5.0 - 5.9,0,
1039,-0.05,-80.12,5.42705679,4.16999697,"Pedernales,Manabi",Manabi,4.0 - 4.9,0,
1040,0.04,-80.23,4.41175747,5.11840116,"Pedernales,Manabi",Near Coast of Ecuador,5.0 - 5.9,0,
1041,-0.01,-80.33,7.71502304,3.96445033,"Pedernales,Manabi",Near Coast of Ecuador,4.0 - 4.9,0,
1042,-0.21,-80.33,6.98301315,5.65732497,"Jama,Manabi",Near Coast of Ecuador,5.0 - 5.9,0,
1043,0.02,-80.66,4.88319683,3.86749598,"Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
1044,0.33,-80.36,7.60070229,4.36973914,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1045,-0.06,-80.48,8.37731361,4.08480203,nas,Manabi,4.0 - 4.9,0,
1046,0.32,-80.2,5.9694066,4.66275559,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1047,-0.14,-80.22,6.83753872,3.96008942,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1049,-0.14,-80.79,9.47252464,4.69100314,nas,Manabi,4.0 - 4.9,0,
1050,0.24,-80.3,6.47819376,3.79593305,nas,Manabi,3.0 - 3.9,0,
1051,-0.09,-80.04,6.28111315,3.91763404,nas,Manabi,4.0 - 4.9,0,
1052,0.05,-80.41,7.21911192,3.89591797,nas,Manabi,3.0 - 3.9,0,
1053,-0.03,-80.14,6.77529287,3.84301303,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1054,-0.18,-80.33,10,3.76331638,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1055,-0.25,-80.68,10.50400829,3.66360382,nas,Manabi,3.0 - 3.9,0,
1056,0.47,-80.31,5,4.20496853,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1057,-0.07,-80.75,11.68936729,3.64392804,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1058,-0.1,-80.49,5,3.55503173,nas,Manabi,3.0 - 3.9,0,
1059,-0.35,-80.44,2.30457234,3.54014946,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1060,0.24,-80.75,10.56093884,3.59103147,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1061,-0.03,-80.31,1.04479206,3.83296033,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1062,-0.26,-80.89,8.55240536,5.17477391,nas,Near Coast of Ecuador,5.0 - 5.9,0,
1063,-0.11,-80.87,5.74467754,3.86445784,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1064,0.29,-80.57,6.76925278,4.11289073,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1065,-0.13,-80.43,10,3.94667929,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1066,0.08,-81.09,10,3.6880366,nas,Esmeraldas,3.0 - 3.9,0,
1067,0.01,-79.58,10,3.95677404,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1068,-0.29,-80.38,8.6162777,4.27948816,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1069,-0.14,-80.48,4.07835579,5.63029967,nas,Near Coast of Ecuador,5.0 - 5.9,0,
1070,0.28,-80.73,9.60111809,4.23583164,nas,Manabi,4.0 - 4.9,0,
1071,0.02,-80.16,10,4.33037873,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1072,0.38,-80.25,8.74760437,3.60920129,nas,Esmeraldas,3.0 - 3.9,0,
1074,-0.17,-80.72,4.34064102,4.30955423,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1075,-0.17,-80.73,10,4.14127193,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1076,0.68,-80.76,7.50820112,5.04260799,nas,Esmeraldas,5.0 - 5.9,0,
1079,0.03,-80.56,7.94914007,4.018763,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1080,0.07,-80.81,2.2352736,3.94117516,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1081,-0.26,-80.97,10,4.38669767,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1082,-0.47,-81.04,3.03110766,3.5993031,nas,Manabi,3.0 - 3.9,0,
1083,-0.05,-80.41,10,4.30113185,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1084,0.37,-80.85,8.35934734,5.08396486,nas,Near Coast of Ecuador,5.0 - 5.9,0,
1085,-0.03,-80.31,9.22354412,4.27505501,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1086,0.39,-80.31,6.73099136,3.96325157,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1087,-0.25,-80.53,9.60727119,3.60040634,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1088,-0.12,-80.53,10,4.75226476,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1089,0.54,-80.87,6.39978886,4.15524449,nas,Esmeraldas,4.0 - 4.9,0,
1090,-0.45,-80.05,8.43670845,4.04246992,nas,Manabi,4.0 - 4.9,0,
1091,-0.1,-80.38,5.35845661,4.02964052,nas,Manabi,4.0 - 4.9,0,
1094,-0.43,-79.78,9.35428715,3.52620419,nas,Manabi,3.0 - 3.9,0,
1095,0.02,-79.64,5,3.5248609,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1096,0.29,-80.75,12.42844296,3.53979873,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1097,-0.15,-80.6,5.41064167,4.09537129,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1098,0.35,-80.59,5.45933008,4.81797698,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1099,-0.22,-80.46,6.91969347,3.91169544,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1100,-0.14,-80.7,7.05759096,4.40821407,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1101,-0.07,-80.81,11.27045441,3.83005889,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1102,-0.03,-80.37,6.55678606,3.71312172,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1103,-0.16,-80.35,6.49831104,3.76418681,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1104,-0.15,-80.46,3.49831605,3.63660338,nas,Manabi,3.0 - 3.9,0,
1105,-0.23,-80.35,9.37376213,3.786524,nas,Manabi,3.0 - 3.9,0,
1106,-0.3,-80.33,8.65192509,3.8316757,nas,Manabi,3.0 - 3.9,0,
1107,-0.4,-80.17,7.94252729,6.07459352,nas,Manabi,6.0 - 6.9,0,
1108,0.23,-80.4,5.21173334,3.59209791,nas,Esmeraldas,3.0 - 3.9,0,
1109,0.06,-80,10,4.33355227,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1110,-0.02,-80.94,6.05619574,3.5154273,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1111,-0.46,-80.2,6.70803785,4.18034742,nas,Manabi,4.0 - 4.9,0,
1113,0.65,-80.86,5,3.76653576,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1115,-0.14,-79.86,5,3.74746672,nas,Manabi,3.0 - 3.9,0,
1116,-0.19,-80.29,6.48033762,4.23452694,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1117,0.25,-80.58,7.32667589,3.75906068,nas,Manabi,3.0 - 3.9,0,
1118,-0.16,-79.87,10.90612793,4.47807822,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1119,0.59,-80.58,5.09526491,4.08907292,nas,Esmeraldas,4.0 - 4.9,0,
1120,-0.12,-80.13,6.74551058,5.67335769,nas,Near Coast of Ecuador,5.0 - 5.9,0,
1121,-0.18,-80.8,15.01320744,3.73539163,nas,Manabi,3.0 - 3.9,0,
1122,-0.19,-80.25,13.46090794,3.81475223,nas,Manabi,3.0 - 3.9,0,
1123,0.39,-80.37,5.9397006,4.83648113,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1125,0.32,-80.83,3.09435201,4.4953674,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1126,-0.04,-80.42,8.32425594,4.71708295,nas,Near Coast of Ecuador,4.0 - 4.9,0,
1128,0.59,-80.91,3.11169934,3.70138411,nas,Esmeraldas,3.0 - 3.9,0,
1129,-0.25,-80.06,9.11882591,5.087143,nas,Manabi,5.0 - 5.9,0,
1130,-0.18,-80.42,7.88046551,4.19281663,nas,Manabi,4.0 - 4.9,0,
1131,0.07,-80.26,10.29966354,3.8387701,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1132,-0.04,-80.86,1.14168298,3.62357832,nas,Near Coast of Ecuador,3.0 - 3.9,0,
1133,-0.03,-80.8,6.2848525,3.58128563,nas,Manabi,3.0 - 3.9,0,
1135,-0.05,-80.83,8.87146854,3.52235003,nas,Manabi,3.0 - 3.9,0,
1136,-0.17,-80.23,6.57745791,4.51982412,nas,Manabi,4.0 - 4.9,0,
1138,0.62,-80.99,9.35830879,3.5895338,nas,Near Coast of Ecuador,3.0 - 3.9,0,
