"Mag","Depth","Latitude","Longitude","CloserCity","Region","categoryMag","categoryDepth","cluster"
"166",3.2,4.2,0.88,-79.5," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"167",3.3,1.3,0.94,-79.54," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"168",4,6.3,0.95,-79.39," Esmeraldas,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"169",4.1,3.8,0.92,-79.51," Esmeraldas,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"170",3.3,4.6,0.94,-79.52," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"171",3.4,4.7,0.96,-79.46," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"172",3.4,2.6,0.96,-79.47," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"173",3.6,4.3,0.94,-79.54," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"174",3.1,5,0.95,-79.46," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"175",4.8,4.4,0.96,-79.56," Esmeraldas,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"179",4.1,10,0.95,-79.48," Esmeraldas,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"186",3.5,12.9,0.19,-79.99," Pedernales,Manabi","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"187",5.9,8.7,0.6,-79.88," Muisne,Esmeraldas","Near Coast of Ecuador","5.0 - 5.9","< 60",1
"188",3.3,6.1,0.62,-79.89," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"189",6.2,10.1,0.59,-79.77," Muisne,Esmeraldas","Near Coast of Ecuador","6.0 - 6.9","< 60",1
"190",3.2,18.9,0.6,-79.79," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"191",4.3,6.1,0.7,-79.7," Atacames,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"192",4.4,2.4,0.95,-79.53," Esmeraldas,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"193",4,5,0.97,-79.55," Esmeraldas,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"194",3.7,2.2,0.97,-79.53," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"195",3.4,5,0.92,-79.53," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"196",3.5,10,0.95,-79.59," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"197",3.3,5.3,0.92,-79.52," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"199",3.8,5,0.94,-79.55," Esmeraldas,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
"204",4.3,7.9,0.62,-80.16," Muisne,Esmeraldas","Near Coast of Ecuador","4.0 - 4.9","< 60",1
"218",3.1,10.3,0.46,-80.14," Muisne,Esmeraldas","Near Coast of Ecuador","3.0 - 3.9","< 60",1
