"Mag,LocalHour,Lat,Long,Depth,Region,Status,CloserCity,UTCHour,LastUpdate"
"4.1,06-05-2016 0:21,2.81? S,78.07? W,5,Ecuador - Morona Santiago,M,""40.78km Sucua,Morona Santiago"",06-05-2016 5:21,06-05-2016 5:30"
"3.9,06-05-2016 23:37,2.72? S,80.17? W,6.1,Ecuador - Guayas,M,""26.44km Playas,Guayas"",07-05-2016 4:37,07-05-2016 4:49"
"3.5,07-05-2016 18:56,4.10? S,79.95? W,108.2,Ecuador - Loja,M,""30.72km Macara,Loja"",07-05-2016 23:56,08-05-2016 0:02"
"3.6,08-05-2016 13:02,3.26? S,80.75? W,8.6,Peru-Ecuador Border,M,""63.32km Huaquillas,El Oro"",08-05-2016 18:02,08-05-2016 18:07"
"3.5,08-05-2016 14:06,1.62? S,80.98? W,1.1,Near Coast of Ecuador,M,""20.85km Puerto Lopez,Manabi"",08-05-2016 19:06,08-05-2016 19:12"
"4.2,09-05-2016 12:32,4.37? S,77.70? W,2,Northern Peru,M,""132.27km Yantzaza,Zamora Chinchipe"",09-05-2016 17:32,09-05-2016 17:41"
"3.7,09-05-2016 19:12,2.54? S,80.11? W,17.5,Near Coast of Ecuador,M,""32.59km Playas,Guayas"",10-05-2016 0:12,10-05-2016 0:17"
"3.9,10-05-2016 8:17,2.31? S,81.38? W,5,Near Coast of Ecuador,M,""47.83km Salinas,Santa Elena"",10-05-2016 13:17,10-05-2016 13:23"
"4.1,12-05-2016 9:18,0.65? S,81.15? W,5,Off Coast of Ecuador,M,""60.46km Manta,Manabi"",12-05-2016 14:18,12-05-2016 14:37"
"3.8,12-05-2016 21:47,0.69? N,80.57? W,2.8,Near Coast of Ecuador,M,""61.72km Muisne,Esmeraldas"",13-05-2016 2:47,13-05-2016 2:52"
"3.6,12-05-2016 23:33,1.83? S,80.96? W,5,Near Coast of Ecuador,M,""35.24km Puerto Lopez,Manabi"",13-05-2016 4:33,13-05-2016 4:42"
"3.6,13-05-2016 8:13,0.70? S,81.11? W,30.4,Off Coast of Ecuador,M,""53.63km Manta,Manabi"",13-05-2016 13:13,13-05-2016 13:18"
"3.8,14-05-2016 8:59,0.95? S,79.72? W,10,Ecuador - Guayas,M,""14.39km Velasco Ibarra,Guayas"",14-05-2016 13:59,14-05-2016 14:06"
"3.7,14-05-2016 17:06,0.18? S,80.96? W,10,Near Coast of Ecuador,M,""76.75km Bahia de Caraquez,Manabi"",14-05-2016 22:06,14-05-2016 22:25"
"3,15-05-2016 0:51,0.14? S,81.00? W,5,Off Coast of Ecuador,M,""82.21km Jama,Manabi"",15-05-2016 5:51,15-05-2016 5:57"
"3.3,15-05-2016 1:10,0.40? S,81.03? W,9.4,Off Coast of Ecuador,M,""71.30km Bahia de Caraquez,Manabi"",15-05-2016 6:10,15-05-2016 6:16"
"3.6,15-05-2016 1:29,0.87? N,80.25? W,11.1,Near Coast of Ecuador,M,""38.43km Muisne,Esmeraldas"",15-05-2016 6:29,15-05-2016 6:34"
"3.8,15-05-2016 1:53,0.61? S,80.69? W,2.5,Near Coast of Ecuador,M,""29.23km Bahia de Caraquez,Manabi"",15-05-2016 6:53,15-05-2016 7:14"
"5,15-05-2016 4:51,0.66? N,80.69? W,4.7,Near Coast of Ecuador,M,""74.64km Muisne,Esmeraldas"",15-05-2016 9:51,15-05-2016 10:07"
"4,15-05-2016 11:47,0.77? N,80.20? W,10,Near Coast of Ecuador,M,""26.61km Muisne,Esmeraldas"",15-05-2016 16:47,15-05-2016 16:51"
"3.6,15-05-2016 15:58,0.82? S,80.88? W,13.3,Near Coast of Ecuador,M,""25.14km Manta,Manabi"",15-05-2016 20:58,15-05-2016 21:05"
"3.8,15-05-2016 16:02,0.75? S,81.09? W,12,Off Coast of Ecuador,M,""48.81km Manta,Manabi"",15-05-2016 21:02,15-05-2016 21:10"
"3.6,15-05-2016 23:50,0.70? N,79.73? W,8.8,Near Coast of Ecuador,M,""22.74km Atacames,Esmeraldas"",16-05-2016 4:50,16-05-2016 5:03"
"3.7,16-05-2016 6:42,0.80? S,80.84? W,6.8,Near Coast of Ecuador,M,""23.67km Manta,Manabi"",16-05-2016 11:42,16-05-2016 11:48"
"3.4,17-05-2016 1:35,0.03? S,80.29? W,8.7,Near Coast of Ecuador,M,""19.36km Jama,Manabi"",17-05-2016 6:35,17-05-2016 7:28"
"3.5,17-05-2016 11:03,3.91? S,80.14? W,32.5,Peru-Ecuador Border,M,""40.20km Arenillas,El Oro"",17-05-2016 16:03,17-05-2016 16:07"
"3.7,17-05-2016 11:14,0.82? N,79.82? W,10,Ecuador - Esmeraldas,M,""6.10km Atacames,Esmeraldas"",17-05-2016 16:14,17-05-2016 16:18"
"4,17-05-2016 17:51,0.06? S,80.53? W,10,Near Coast of Ecuador,M,""33.59km Jama,Manabi"",17-05-2016 22:51,17-05-2016 22:58"
"3.5,17-05-2016 19:03,0.29? S,80.49? W,5.7,Near Coast of Ecuador,M,""27.03km Jama,Manabi"",18-05-2016 0:03,18-05-2016 0:07"
"4.8,18-05-2016 3:10,0.54? N,80.04? W,7,Near Coast of Ecuador,M,""8.25km Muisne,Esmeraldas"",18-05-2016 8:10,18-05-2016 8:17"
