"Mag,LocalHour,Lat,Long,Depth,Region,Status,CloserCity,UTCHour,LastUpdate"
"3.9,06-07-2016 22:44,0.96? N,79.44? W,10,Near Coast of Ecuador,M,""23.23km Esmeraldas,Esmeraldas"",07-07-2016 3:44,07-07-2016 3:54"
"4.3,07-07-2016 5:48,0.96? N,79.46? W,10,Near Coast of Ecuador,M,""21.85km Esmeraldas,Esmeraldas"",07-07-2016 10:48,07-07-2016 10:54"
"3.3,05-07-2016 20:35,0.89? N,79.56? W,5.9,Near Coast of Ecuador,M,""13.39km Esmeraldas,Esmeraldas"",06-07-2016 1:35,07-07-2016 14:24"
"4.6,05-07-2016 22:14,0.21? N,80.02? W,12.5,Ecuador - Manabi,M,""15.63km Pedernales,Manabi"",06-07-2016 3:14,07-07-2016 14:27"
"3.6,05-07-2016 23:40,1.01? N,79.56? W,2.6,Near Coast of Ecuador,M,""11.43km Esmeraldas,Esmeraldas"",06-07-2016 4:40,07-07-2016 14:28"
"4.3,06-07-2016 1:15,0.94? N,79.51? W,2.3,Near Coast of Ecuador,M,""15.63km Esmeraldas,Esmeraldas"",06-07-2016 6:15,07-07-2016 14:33"
"3.2,06-07-2016 1:26,0.88? N,79.50? W,4.2,Near Coast of Ecuador,M,""19.48km Esmeraldas,Esmeraldas"",06-07-2016 6:26,07-07-2016 14:45"
"3.3,06-07-2016 1:28,0.94? N,79.54? W,1.3,Near Coast of Ecuador,M,""12.88km Esmeraldas,Esmeraldas"",06-07-2016 6:28,07-07-2016 14:47"
"4,06-07-2016 1:42,0.95? N,79.39? W,6.3,Near Coast of Ecuador,M,""29.62km Esmeraldas,Esmeraldas"",06-07-2016 6:42,07-07-2016 14:49"
"4.1,06-07-2016 1:43,0.92? N,79.51? W,3.8,Near Coast of Ecuador,M,""17.15km Esmeraldas,Esmeraldas"",06-07-2016 6:43,07-07-2016 14:51"
"3.3,06-07-2016 2:01,0.94? N,79.52? W,4.6,Near Coast of Ecuador,M,""14.67km Esmeraldas,Esmeraldas"",06-07-2016 7:01,07-07-2016 14:54"
"3.4,06-07-2016 3:30,0.96? N,79.46? W,4.7,Near Coast of Ecuador,M,""21.60km Esmeraldas,Esmeraldas"",06-07-2016 8:30,07-07-2016 16:00"
"3.4,06-07-2016 5:29,0.96? N,79.47? W,2.6,Near Coast of Ecuador,M,""20.21km Esmeraldas,Esmeraldas"",06-07-2016 10:29,07-07-2016 16:06"
"3.6,06-07-2016 6:06,0.94? N,79.54? W,4.3,Near Coast of Ecuador,M,""12.28km Esmeraldas,Esmeraldas"",06-07-2016 11:06,07-07-2016 16:09"
"3.1,06-07-2016 7:53,0.95? N,79.46? W,5,Near Coast of Ecuador,M,""21.14km Esmeraldas,Esmeraldas"",06-07-2016 12:53,07-07-2016 16:19"
"4.8,06-07-2016 1:19,0.96? N,79.56? W,4.4,Near Coast of Ecuador,M,""10.64km Esmeraldas,Esmeraldas"",06-07-2016 6:19,07-07-2016 17:09"
"4,07-07-2016 12:08,0.37? S,81.04? W,10,Off Coast of Ecuador,M,""73.90km Bahia de Caraquez,Manabi"",07-07-2016 17:08,07-07-2016 17:12"
"4.4,07-07-2016 23:41,0.35? S,81.32? W,14.1,Off Coast of Ecuador,M,""96.38km Manta,Manabi"",08-07-2016 4:41,08-07-2016 4:50"
"3.9,07-07-2016 23:32,0.36? S,81.10? W,2,Off Coast of Ecuador,M,""80.47km Manta,Manabi"",08-07-2016 4:32,08-07-2016 5:07"
"4.1,07-07-2016 22:11,0.95? N,79.48? W,10,Near Coast of Ecuador,M,""18.98km Esmeraldas,Esmeraldas"",08-07-2016 3:11,08-07-2016 5:15"
"4.6,08-07-2016 2:03,0.37? S,81.09? W,9.1,Off Coast of Ecuador,M,""78.85km Bahia de Caraquez,Manabi"",08-07-2016 7:03,08-07-2016 7:17"
"4.3,08-07-2016 2:35,0.37? S,81.08? W,10,Off Coast of Ecuador,M,""78.15km Bahia de Caraquez,Manabi"",08-07-2016 7:35,08-07-2016 7:48"
"3.9,08-07-2016 9:28,1.50? S,81.10? W,10,Off Coast of Ecuador,M,""33.58km Puerto Lopez,Manabi"",08-07-2016 14:28,08-07-2016 14:48"
"3.9,08-07-2016 12:19,2.34? S,77.55? W,156.8,Ecuador - Morona Santiago,M,""63.26km Macas,Morona Stgo"",08-07-2016 17:19,08-07-2016 17:28"
"3.6,09-07-2016 2:04,0.27? S,81.06? W,10,Off Coast of Ecuador,M,""80.84km Bahia de Caraquez,Manabi"",09-07-2016 7:04,09-07-2016 7:14"
"4.7,10-07-2016 1:44,0.18? S,81.06? W,10,Off Coast of Ecuador,M,""85.32km Bahia de Caraquez,Manabi"",10-07-2016 6:44,10-07-2016 6:56"
"3.5,10-07-2016 12:08,0.19? N,79.99? W,12.9,Near Coast of Ecuador,M,""14.86km Pedernales,Manabi"",10-07-2016 17:08,10-07-2016 17:17"
"5.9,10-07-2016 21:01,0.60? N,79.88? W,8.7,Near Coast of Ecuador,M,""15.22km Muisne,Esmeraldas"",11-07-2016 2:01,11-07-2016 2:25"
"3.3,10-07-2016 21:57,0.62? N,79.89? W,6.1,Near Coast of Ecuador,M,""14.32km Muisne,Esmeraldas"",11-07-2016 2:57,11-07-2016 3:03"
"6.2,10-07-2016 21:11,0.59? N,79.77? W,10.1,Near Coast of Ecuador,M,""28.07km Muisne,Esmeraldas"",11-07-2016 2:11,11-07-2016 3:40"
"3.2,10-07-2016 21:42,0.60? N,79.79? W,18.9,Near Coast of Ecuador,M,""26.18km Muisne,Esmeraldas"",11-07-2016 2:42,11-07-2016 4:39"
"4.3,11-07-2016 2:40,0.70? N,79.70? W,6.1,Near Coast of Ecuador,M,""24.95km Atacames,Esmeraldas"",11-07-2016 7:40,11-07-2016 7:50"
"4.4,12-07-2016 13:32,0.95? N,79.53? W,2.4,Near Coast of Ecuador,M,""13.83km Esmeraldas,Esmeraldas"",12-07-2016 18:32,12-07-2016 18:44"
"4,12-07-2016 13:35,0.97? N,79.55? W,5,Near Coast of Ecuador,M,""11.64km Esmeraldas,Esmeraldas"",12-07-2016 18:35,12-07-2016 18:46"
"3.7,12-07-2016 13:54,0.97? N,79.53? W,2.2,Near Coast of Ecuador,M,""13.73km Esmeraldas,Esmeraldas"",12-07-2016 18:54,12-07-2016 18:59"
"3.4,12-07-2016 14:04,0.92? N,79.53? W,5,Near Coast of Ecuador,M,""14.63km Esmeraldas,Esmeraldas"",12-07-2016 19:04,12-07-2016 19:11"
"3.5,13-07-2016 0:32,0.95? N,79.59? W,10,Near Coast of Ecuador,M,""7.29km Esmeraldas,Esmeraldas"",13-07-2016 5:32,13-07-2016 5:38"
"3.3,13-07-2016 7:07,0.92? N,79.52? W,5.3,Near Coast of Ecuador,M,""15.37km Esmeraldas,Esmeraldas"",13-07-2016 12:07,13-07-2016 12:30"
"4.4,07-05-2016 16:46,1.13? S,81.34? W,-,Off Coast of Ecuador,M,""72.29km Manta,Manabi"",07-05-2016 21:46,13-07-2016 15:24"
"3.8,13-07-2016 12:54,0.94? N,79.55? W,5,Near Coast of Ecuador,M,""12.16km Esmeraldas,Esmeraldas"",13-07-2016 17:54,13-07-2016 18:00"
"3.6,14-07-2016 3:43,0.56? S,81.27? W,10,Off Coast of Ecuador,M,""77.43km Manta,Manabi"",14-07-2016 8:43,14-07-2016 8:53"
"4.2,14-07-2016 3:40,0.65? S,80.95? W,10,Near Coast of Ecuador,M,""44.25km Manta,Manabi"",14-07-2016 8:40,14-07-2016 8:57"
"3.5,05-05-2016 20:07,1.53? S,80.91? W,-,Near Coast of Ecuador,M,""12.24km Puerto Lopez,Manabi"",06-05-2016 1:07,14-07-2016 15:55"
"3.4,05-05-2016 20:18,0.11? S,80.96? W,5.2,Near Coast of Ecuador,M,""77.86km Jama,Manabi"",06-05-2016 1:18,14-07-2016 15:58"
"4.3,05-05-2016 21:05,0.62? N,80.16? W,7.9,Near Coast of Ecuador,M,""15.82km Muisne,Esmeraldas"",06-05-2016 2:05,14-07-2016 16:00"
"3.5,05-05-2016 21:51,1.14? S,81.01? W,-,Off Coast of Ecuador,M,""38.13km Manta,Manabi"",06-05-2016 2:51,14-07-2016 16:03"
"3.4,05-05-2016 23:25,1.57? S,81.05? W,-,Off Coast of Ecuador,M,""27.50km Puerto Lopez,Manabi"",06-05-2016 4:25,14-07-2016 16:07"
"4.7,14-07-2016 11:37,1.23? N,80.04? W,10,Off Coast of Ecuador,M,""45.57km Atacames,Esmeraldas"",14-07-2016 16:37,14-07-2016 16:48"
"3.1,05-05-2016 1:07,1.65? S,80.94? W,2.8,Near Coast of Ecuador,M,""18.22km Puerto Lopez,Manabi"",05-05-2016 6:07,14-07-2016 17:10"
"3.2,05-05-2016 4:50,0.11? S,80.32? W,10.3,Near Coast of Ecuador,M,""11.59km Jama,Manabi"",05-05-2016 9:50,14-07-2016 17:24"
"3.2,05-05-2016 6:57,0.75? N,80.26? W,9.4,Near Coast of Ecuador,M,""30.44km Muisne,Esmeraldas"",05-05-2016 11:57,14-07-2016 17:26"
"4.5,05-05-2016 8:34,0.17? S,80.98? W,5.1,Near Coast of Ecuador,M,""79.35km Bahia de Caraquez,Manabi"",05-05-2016 13:34,14-07-2016 17:27"
"4.6,05-05-2016 11:06,0.18? S,80.98? W,3.7,Near Coast of Ecuador,M,""78.32km Bahia de Caraquez,Manabi"",05-05-2016 16:06,14-07-2016 17:34"
"3.3,05-05-2016 12:42,0.12? S,80.73? W,5,Near Coast of Ecuador,M,""52.49km Jama,Manabi"",05-05-2016 17:42,14-07-2016 17:39"
"4,14-07-2016 13:11,0.97? S,80.62? W,4.4,Near Coast of Ecuador,M,""2.48km Jaramijo,Manabi"",14-07-2016 18:11,14-07-2016 18:16"
"3.5,05-05-2016 14:23,0.09? S,80.33? W,12.7,Near Coast of Ecuador,M,""14.38km Jama,Manabi"",05-05-2016 19:23,14-07-2016 19:39"
"3.6,05-05-2016 14:25,0.09? S,80.26? W,7.9,Near Coast of Ecuador,M,""12.22km Jama,Manabi"",05-05-2016 19:25,14-07-2016 19:42"
"3.6,05-05-2016 17:40,0.10? S,80.95? W,2.1,Near Coast of Ecuador,M,""76.71km Jama,Manabi"",05-05-2016 22:40,14-07-2016 20:11"
"3.1,05-05-2016 18:18,0.46? N,80.14? W,10.3,Near Coast of Ecuador,M,""21.03km Muisne,Esmeraldas"",05-05-2016 23:18,14-07-2016 20:15"
"3,05-05-2016 20:02,0.30? S,80.03? W,19.8,Ecuador - Manabi,M,""18.64km Flavio Alfaro,Manabi"",06-05-2016 1:02,14-07-2016 20:21"
"3.2,05-05-2016 21:38,0.64? N,80.18? W,6,Near Coast of Ecuador,M,""17.73km Muisne,Esmeraldas"",06-05-2016 2:38,14-07-2016 20:29"
"3.7,05-05-2016 23:40,0.18? S,80.81? W,2.9,Near Coast of Ecuador,M,""61.05km Jama,Manabi"",06-05-2016 4:40,14-07-2016 20:34"
"3.8,06-05-2016 1:47,1.50? S,80.95? W,6.2,Near Coast of Ecuador,M,""17.41km Puerto Lopez,Manabi"",06-05-2016 6:47,14-07-2016 20:36"
"3.6,06-05-2016 3:23,1.20? S,80.98? W,-,Ecuador - Manabi,M,""39.30km Montecristi,Manabi"",06-05-2016 8:23,14-07-2016 20:38"
"4.4,06-05-2016 3:37,0.16? S,81.05? W,5.3,Off Coast of Ecuador,M,""85.68km Bahia de Caraquez,Manabi"",06-05-2016 8:37,14-07-2016 20:40"
"3.5,06-05-2016 6:08,0.92? N,79.95? W,6.3,Near Coast of Ecuador,M,""12.69km Atacames,Esmeraldas"",06-05-2016 11:08,14-07-2016 20:45"
"3.7,06-05-2016 15:41,0.03? S,80.21? W,7.3,Near Coast of Ecuador,M,""19.69km Jama,Manabi"",06-05-2016 20:41,14-07-2016 21:29"
"3.1,06-05-2016 19:01,0.19? N,80.12? W,16.3,Near Coast of Ecuador,M,""14.79km Pedernales,Manabi"",07-05-2016 0:01,14-07-2016 21:34"
"4.5,15-07-2016 2:32,0.64? S,81.19? W,10,Off Coast of Ecuador,M,""64.90km Manta,Manabi"",15-07-2016 7:32,15-07-2016 7:39"
"4.5,15-07-2016 6:17,0.34? N,80.25? W,10.1,Near Coast of Ecuador,M,""37.22km Pedernales,Manabi"",15-07-2016 11:17,15-07-2016 11:28"
"3.6,15-07-2016 15:50,0.62? N,79.88? W,9.4,Near Coast of Ecuador,M,""15.80km Muisne,Esmeraldas"",15-07-2016 20:50,15-07-2016 20:57"
"4.6,15-07-2016 7:33,1.02? S,82.38? W,10,Off Coast of Ecuador,M,""184.56km Puerto Lopez,Manabi"",15-07-2016 12:33,16-07-2016 0:06"
"3.7,16-07-2016 7:58,0.38? N,80.43? W,2.3,Near Coast of Ecuador,M,""52.40km Muisne,Esmeraldas"",16-07-2016 12:58,16-07-2016 13:04"
"4.2,17-07-2016 6:57,3.07? S,80.13? W,10,Peru-Ecuador Border,M,""28.38km Machala,El Oro"",17-07-2016 11:57,17-07-2016 12:09"
"3.7,17-07-2016 9:43,0.63? S,81.18? W,10,Off Coast of Ecuador,M,""64.48km Manta,Manabi"",17-07-2016 14:43,17-07-2016 15:20"
"3.5,17-07-2016 13:24,0.86? N,79.51? W,10,Near Coast of Ecuador,M,""19.92km Esmeraldas,Esmeraldas"",17-07-2016 18:24,17-07-2016 18:29"
"3.5,18-07-2016 6:51,0.93? N,79.35? W,10,Near Coast of Ecuador,M,""34.03km Esmeraldas,Esmeraldas"",18-07-2016 11:51,18-07-2016 11:55"
"4.5,18-07-2016 7:00,0.95? N,79.46? W,10,Near Coast of Ecuador,M,""21.89km Esmeraldas,Esmeraldas"",18-07-2016 12:00,18-07-2016 12:08"
"3.7,18-07-2016 9:51,2.06? S,79.80? W,56.3,Near Coast of Ecuador,M,""11.19km Duran,Guayas"",18-07-2016 14:51,18-07-2016 14:55"
"3.5,18-07-2016 11:36,0.32? S,81.01? W,5,Off Coast of Ecuador,M,""72.42km Bahia de Caraquez,Manabi"",18-07-2016 16:36,18-07-2016 16:42"
"3.9,18-07-2016 20:52,0.92? S,80.69? W,10,Near Coast of Ecuador,M,""5.20km Manta,Manabi"",19-07-2016 1:52,19-07-2016 1:58"
"3.8,19-07-2016 4:14,0.96? N,79.49? W,10,Near Coast of Ecuador,M,""17.79km Esmeraldas,Esmeraldas"",19-07-2016 9:14,19-07-2016 9:21"
"3.4,19-07-2016 3:30,0.91? N,79.43? W,10,Near Coast of Ecuador,M,""25.66km Esmeraldas,Esmeraldas"",19-07-2016 8:30,19-07-2016 9:30"
"3.1,16-06-2016 6:17,0.04? S,80.29? W,9.2,Near Coast of Ecuador,M,""17.80km Jama,Manabi"",16-06-2016 11:17,19-07-2016 14:58"
"3.5,17-06-2016 1:05,0.76? N,80.45? W,8.4,Near Coast of Ecuador,M,""50.80km Muisne,Esmeraldas"",17-06-2016 6:05,19-07-2016 15:01"
"3.4,17-06-2016 1:16,0.77? N,80.23? W,20.5,Near Coast of Ecuador,M,""29.23km Muisne,Esmeraldas"",17-06-2016 6:16,19-07-2016 15:04"
"3.3,18-06-2016 1:29,0.72? N,80.37? W,9.6,Near Coast of Ecuador,M,""40.56km Muisne,Esmeraldas"",18-06-2016 6:29,19-07-2016 15:12"
"3.3,06-05-2016 20:36,0.81? N,80.41? W,2.8,Near Coast of Ecuador,M,""48.54km Muisne,Esmeraldas"",07-05-2016 1:36,19-07-2016 17:28"
"3.3,07-05-2016 6:37,0.01? S,80.23? W,5.9,Near Coast of Ecuador,M,""21.57km Jama,Manabi"",07-05-2016 11:37,19-07-2016 19:47"
"3.3,07-05-2016 17:52,0.33? S,80.41? W,4.4,Ecuador - Manabi,M,""21.62km Jama,Manabi"",07-05-2016 22:52,19-07-2016 20:01"
"3.5,07-05-2016 19:08,0.21? S,80.54? W,8.5,Near Coast of Ecuador,M,""31.11km Jama,Manabi"",08-05-2016 0:08,19-07-2016 20:04"
"3.4,07-05-2016 22:13,0.09? N,80.32? W,7.4,Near Coast of Ecuador,M,""29.68km Pedernales,Manabi"",08-05-2016 3:13,19-07-2016 20:11"
"3,07-05-2016 23:25,0.03? N,80.14? W,27,Near Coast of Ecuador,M,""10.95km Pedernales,Manabi"",08-05-2016 4:25,19-07-2016 20:13"
"3.3,08-05-2016 9:24,0.53? S,80.42? W,4.4,Ecuador - Manabi,M,""8.99km San Vicente,Manabi"",08-05-2016 14:24,19-07-2016 20:27"
"3.3,08-05-2016 9:40,0.40? N,80.81? W,8.6,Near Coast of Ecuador,M,""90.62km Jama,Manabi"",08-05-2016 14:40,19-07-2016 20:30"
"3.8,08-05-2016 17:58,0.30? S,79.70? W,26.3,Ecuador - Manabi,M,""25.68km Flavio Alfaro,Manabi"",08-05-2016 22:58,19-07-2016 21:07"
"3.4,08-05-2016 23:31,0.38? N,80.66? W,6.4,Near Coast of Ecuador,M,""75.51km Muisne,Esmeraldas"",09-05-2016 4:31,19-07-2016 21:15"
"3.1,09-05-2016 5:52,0.34? N,80.24? W,10.5,Near Coast of Ecuador,M,""35.76km Pedernales,Manabi"",09-05-2016 10:52,19-07-2016 21:30"
"4.2,09-05-2016 7:49,0.39? S,80.32? W,13.1,Ecuador - Manabi,M,""21.77km Jama,Manabi"",09-05-2016 12:49,19-07-2016 21:32"
"3.2,09-05-2016 8:16,0.40? N,80.41? W,5,Near Coast of Ecuador,M,""49.44km Muisne,Esmeraldas"",09-05-2016 13:16,19-07-2016 21:35"
"3.1,09-05-2016 13:00,0.41? N,80.61? W,10.4,Near Coast of Ecuador,M,""68.71km Muisne,Esmeraldas"",09-05-2016 18:00,19-07-2016 21:42"
"3.9,20-07-2016 3:47,0.81? S,80.48? W,10,Near Coast of Ecuador,M,""13.03km Rocafuerte,Manabi"",20-07-2016 8:47,20-07-2016 12:20"
"4.4,20-07-2016 8:51,0.87? S,80.73? W,10,Near Coast of Ecuador,M,""11.31km Manta,Manabi"",20-07-2016 13:51,20-07-2016 13:58"
"3.3,09-05-2016 15:50,0.36? S,81.12? W,3,Off Coast of Ecuador,M,""81.89km Manta,Manabi"",09-05-2016 20:50,20-07-2016 15:37"
"3.5,09-05-2016 16:11,0.11? S,81.13? W,5,Off Coast of Ecuador,M,""96.45km Bahia de Caraquez,Manabi"",09-05-2016 21:11,20-07-2016 16:13"
"4.3,11-05-2016 18:04,0.02? S,80.27? W,11.9,Near Coast of Ecuador,M,""20.54km Jama,Manabi"",11-05-2016 23:04,20-07-2016 17:16"
"3.1,20-07-2016 19:29,0.12? S,79.14? W,4.8,Ecuador - Santo Domingo,M,""13.75km Sto Domingo,Sto Dom Tsachilas"",21-07-2016 0:29,21-07-2016 0:33"
"4.2,21-07-2016 11:43,0.86? S,80.70? W,10,Near Coast of Ecuador,M,""12.34km Manta,Manabi"",21-07-2016 16:43,21-07-2016 16:51"
"3.5,21-07-2016 12:36,0.11? S,80.71? W,5,Near Coast of Ecuador,M,""50.69km Jama,Manabi"",21-07-2016 17:36,21-07-2016 17:52"
"3.5,21-07-2016 13:27,0.14? S,80.66? W,5.6,Near Coast of Ecuador,M,""44.90km Jama,Manabi"",21-07-2016 18:27,21-07-2016 18:36"
"4.3,22-07-2016 1:31,0.22? S,80.65? W,10,Near Coast of Ecuador,M,""43.26km Jama,Manabi"",22-07-2016 6:31,22-07-2016 6:36"
"5,21-07-2016 6:57,0.99? S,80.66? W,10,Near Coast of Ecuador,M,""3.80km Jaramijo,Manabi"",21-07-2016 11:57,22-07-2016 14:54"
"3.5,22-07-2016 9:39,0.92? N,79.47? W,10,Near Coast of Ecuador,M,""21.41km Esmeraldas,Esmeraldas"",22-07-2016 14:39,22-07-2016 15:40"
"3.5,23-07-2016 18:09,0.30? N,80.60? W,4.6,Near Coast of Ecuador,M,""66.50km Pedernales,Manabi"",23-07-2016 23:09,23-07-2016 23:14"
"3.5,23-07-2016 18:39,1.07? N,79.59? W,5,Near Coast of Ecuador,M,""13.17km Esmeraldas,Esmeraldas"",23-07-2016 23:39,23-07-2016 23:46"
"3.5,24-07-2016 9:31,3.63? S,80.15? W,44.6,Ecuador - El Oro,M,""12.69km Arenillas,El Oro"",24-07-2016 14:31,24-07-2016 14:41"
"3.7,27-07-2016 17:06,0.77? N,79.79? W,7.9,Near Coast of Ecuador,M,""12.80km Atacames,Esmeraldas"",27-07-2016 22:06,27-07-2016 22:15"
"4.2,29-07-2016 20:30,0.23? N,80.01? W,4.4,Ecuador - Manabi,M,""18.01km Pedernales,Manabi"",30-07-2016 1:30,30-07-2016 2:46"
"3.5,30-07-2016 7:04,0.94? N,79.56? W,10,Near Coast of Ecuador,M,""10.16km Esmeraldas,Esmeraldas"",30-07-2016 12:04,30-07-2016 12:16"
"3.6,31-07-2016 17:02,0.91? S,79.91? W,43.6,Ecuador - Manabi,M,""28.15km Calceta,Manabi"",31-07-2016 22:02,01-08-2016 22:46"
"6.7,18-05-2016 2:57,0.43? N,80.01? W,17.2,Near Coast of Ecuador,M,""19.81km Muisne,Esmeraldas"",18-05-2016 7:57,02-08-2016 14:02"
"6.9,18-05-2016 11:46,0.47? N,79.82? W,20.8,Near Coast of Ecuador,M,""27.54km Muisne,Esmeraldas"",18-05-2016 16:46,02-08-2016 14:03"
"4,05-08-2016 2:23,1.91? S,77.60? W,10,Ecuador - Pastaza,M,""64.36km Puyo,Pastaza"",05-08-2016 7:23,05-08-2016 7:30"
"3.5,05-08-2016 17:56,1.91? S,78.99? W,99.4,Ecuador - Chimborazo,M,""22.40km San Miguel,Bolivar"",05-08-2016 22:56,05-08-2016 23:04"
"3,06-08-2016 0:47,0.93? S,80.77? W,17.8,Near Coast of Ecuador,M,""7.42km Manta,Manabi"",06-08-2016 5:47,06-08-2016 5:54"
"3.8,06-08-2016 11:44,0.92? N,79.58? W,3.6,Near Coast of Ecuador,M,""9.81km Esmeraldas,Esmeraldas"",06-08-2016 16:44,06-08-2016 16:47"
"3.9,06-08-2016 11:37,0.88? N,79.64? W,10,Near Coast of Ecuador,M,""9.51km Esmeraldas,Esmeraldas"",06-08-2016 16:37,06-08-2016 17:01"
"3.4,09-08-2016 16:13,2.43? S,80.06? W,30.4,Ecuador - Guayas,M,""33.10km Guayaquil,Guayas"",09-08-2016 21:13,09-08-2016 21:20"
"3.5,09-08-2016 23:35,1.72? S,77.76? W,2.7,Ecuador - Pastaza,M,""36.92km Puyo,Pastaza"",10-08-2016 4:35,10-08-2016 4:40"
"3.4,10-08-2016 10:28,0.96? N,79.50? W,3.5,Near Coast of Ecuador,M,""16.48km Esmeraldas,Esmeraldas"",10-08-2016 15:28,10-08-2016 15:33"
"3.8,11-08-2016 15:26,0.57? S,78.28? W,4.3,Ecuador - Pichincha,M,""32.46km Sangolqui,Pichincha"",11-08-2016 20:26,11-08-2016 23:22"
"3,14-08-2016 14:36,0.98? N,79.50? W,3.7,Near Coast of Ecuador,M,""17.07km Esmeraldas,Esmeraldas"",14-08-2016 19:36,14-08-2016 19:43"
"3.4,15-08-2016 2:05,0.13? S,78.62? W,6,Ecuador - Pichincha,M,""17.67km Quito,Pichincha"",15-08-2016 7:05,15-08-2016 7:14"
"3.9,15-08-2016 14:03,2.84? S,79.70? W,13.8,Ecuador - Guayas,M,""7.38km Balao,Guayas"",15-08-2016 19:03,15-08-2016 19:08"
"2.6,19-08-2016 23:47,0.16? S,78.37? W,6.9,Ecuador - Pichincha,M,""10.71km Quito,Pichincha"",20-08-2016 4:47,20-08-2016 4:55"
"3.7,22-08-2016 4:11,0.18? S,80.80? W,10,Near Coast of Ecuador,M,""59.46km Jama,Manabi"",22-08-2016 9:11,22-08-2016 9:20"
"4.1,22-08-2016 4:05,0.17? S,80.77? W,10,Near Coast of Ecuador,M,""56.06km Jama,Manabi"",22-08-2016 9:05,22-08-2016 9:22"
"3.8,22-08-2016 11:31,0.92? S,80.59? W,8.6,Ecuador - Manabi,M,""6.79km Jaramijo,Manabi"",22-08-2016 16:31,22-08-2016 16:36"
"4.6,23-08-2016 7:54,1.91? S,80.29? W,6.7,Ecuador - Guayas,M,""11.59km Pedro Carbo,Guayas"",23-08-2016 12:54,23-08-2016 15:16"
"3.7,24-08-2016 21:40,3.33? S,80.50? W,10,Peru-Ecuador Border,M,""34.48km Huaquillas,El Oro"",25-08-2016 2:40,25-08-2016 2:48"
"3.4,26-08-2016 9:41,2.46? S,79.84? W,19.3,Ecuador - Guayas,M,""32.82km Naranjal,Guayas"",26-08-2016 14:41,26-08-2016 14:46"
"3,02-08-2016 1:12,1.67? S,77.97? W,174.3,Ecuador - Morona Santiago,M,""19.79km Puyo,Pastaza"",02-08-2016 6:12,26-08-2016 15:05"
"3.7,27-08-2016 8:46,1.62? S,77.87? W,10,Ecuador - Pastaza,M,""20.24km Puyo,Pastaza"",27-08-2016 13:46,27-08-2016 13:52"
"3.7,02-08-2016 22:38,0.72? N,80.23? W,5.9,Near Coast of Ecuador,M,""26.05km Muisne,Esmeraldas"",03-08-2016 3:38,29-08-2016 16:33"
"3.5,03-08-2016 0:04,2.34? S,80.11? W,24.8,Ecuador - Guayas,M,""27.81km Guayaquil,Guayas"",03-08-2016 5:04,29-08-2016 17:23"
"3.6,03-08-2016 4:36,1.20? S,80.93? W,4.5,Ecuador - Manabi,M,""35.17km Montecristi,Manabi"",03-08-2016 9:36,29-08-2016 19:14"
"3.1,04-08-2016 4:15,3.20? S,80.23? W,21.6,Ecuador - El Oro,M,""30.81km Huaquillas,El Oro"",04-08-2016 9:15,31-08-2016 15:12"
"3.5,31-08-2016 20:30,0.17? S,77.58? W,5,Ecuador - Napo,M,""58.74km Shushufindi,Sucumbios"",01-09-2016 1:30,01-09-2016 1:56"
"4.1,01-09-2016 8:35,2.28? S,79.18? W,7.4,Ecuador - Guayas,M,""8.64km Bucay,Guayas"",01-09-2016 13:35,01-09-2016 16:20"
"4.2,01-09-2016 5:37,1.07? N,83.72? W,10,Off Coast of Ecuador,M,""404.01km Manta,Manabi"",01-09-2016 10:37,01-09-2016 20:34"
"2.7,03-09-2016 8:32,0.18? S,78.40? W,4.1,Ecuador - Pichincha,M,""7.71km Quito,Pichincha"",03-09-2016 13:32,03-09-2016 13:37"
"4,03-09-2016 15:02,1.63? S,78.10? W,183.9,Ecuador - Morona Santiago,M,""18.78km Puyo,Pastaza"",03-09-2016 20:02,03-09-2016 23:19"
"3.6,07-09-2016 0:10,3.13? S,81.78? W,14.7,Near Coast of Northern Peru,M,""136.38km Salinas,Sta Elena"",07-09-2016 5:10,07-09-2016 5:31"
"3.5,07-09-2016 17:33,1.78? S,77.69? W,176.5,Ecuador - Pastaza,M,""47.81km Puyo,Pastaza"",07-09-2016 22:33,07-09-2016 23:20"
"3.5,08-09-2016 22:52,0.43? N,81.00? W,10,Off Coast of Ecuador,M,""108.20km Jama,Manabi"",09-09-2016 3:52,09-09-2016 4:01"
"2.6,08-09-2016 23:06,0.06? S,78.43? W,4.7,Ecuador - Pichincha,M,""13.74km Quito,Pichincha"",09-09-2016 4:06,09-09-2016 4:28"
"4.8,02-09-2016 15:48,0.75? N,79.25? W,23.2,Ecuador - Esmeraldas,M,""50.57km Esmeraldas,Esmeraldas"",02-09-2016 20:48,09-09-2016 13:45"
"3.9,09-09-2016 12:12,0.46? S,80.89? W,10,Near Coast of Ecuador,M,""54.53km Bahia de Caraquez,Manabi"",09-09-2016 17:12,09-09-2016 17:16"
"3,09-09-2016 14:14,2.90? S,78.81? W,77.8,Ecuador - Azuay,M,""4.40km Gualaceo,Azuay"",09-09-2016 19:14,09-09-2016 22:37"
"3.7,09-09-2016 20:15,2.51? S,77.34? W,7.8,Ecuador - Morona Santiago,M,""89.55km Macas,Morona Stgo"",10-09-2016 1:15,10-09-2016 1:24"
